step,epoch,action_dit_loss,gate_mean,gate_std,gate_above_0_95_ratio,geometry_weight_mean,projected_geometry_norm,fused_geometry_norm
10000,3.10,0.057659901678562164,0.904862642288208,0.21178926527500153,0.7410305738449097,0.095137357711792,45.995384216308594,48.254600524902344
20000,6.20,0.028913460671901703,0.9993000626564026,0.020238816738128662,0.9981513619422913,0.0006999373435974,164.19955444335938,42.56887435913086
30000,9.29,0.02679203450679779,0.9999822378158569,0.003574429079890251,0.9999647736549377,0.0000177621841431,294.4346923828125,85.78364562988281
40000,12.39,0.022382214665412903,0.9999999403953552,0.00004617023660102859,1.0,0.0000000596046448,327.27899169921875,62.20872497558594
50000,15.49,0.019386302679777145,0.9999940991401672,0.0016317308181896806,0.9999810457229614,0.0000059008598328,363.3567810058594,35.10600662231445
60000,18.59,0.006957374047487974,0.9999997019767761,0.00006497623689938337,1.0,0.0000002980232239,342.19091796875,50.46059036254883
70000,21.69,0.009994877502322197,0.9999975562095642,0.0011874459451064467,0.9999945759773254,0.0000024437904358,364.88604736328125,31.693008422851562
80000,24.78,0.00844759400933981,0.9999850392341614,0.002771484199911356,0.9999606609344482,0.0000149607658386,335.79718017578125,55.239166259765625
90000,27.88,0.0035979556851089,0.9999997019767761,0.00010502791701583192,0.9999986886978149,0.0000002980232239,375.66278076171875,48.333919525146484
100000,30.98,0.0026054964400827885,1.0,0.00004119556615478359,1.0,0.0,401.2716979980469,54.681846618652344
