comparison,metric,paired_count,mean_delta,bootstrap_ci_lower,bootstrap_ci_upper,trajectory_l2_mean,trajectory_l2_median,identical_trajectory_ratio
real-zero,pdms,2000,0.006077690867234991,0.0011560987436327185,0.011156085960425416,0.9160512685775757,0.87462317943573,0.0
real-zero,epdms,2000,0.004796523605053362,-0.000397230768860336,0.010195506857379829,0.9160512685775757,0.87462317943573,0.0
real-shuffled,pdms,2000,-0.00029112978546907726,-0.0008758138102950009,2.395748268726396e-06,0.0041777449660003185,0.0006684282561764121,0.0
real-shuffled,epdms,2000,-0.00032044498636981555,-0.0009644052620951191,2.4586134737032323e-06,0.0041777449660003185,0.0006684282561764121,0.0
