run,scene_count,candidate_count,train_logs,validation_logs,primary_predictor,optimization_converged,candidate_delta_spearman,pairwise_distance_spearman,candidate_variance_recovery,pairwise_planning_delta,pairwise_planning_ci95_low,pairwise_planning_ci95_high,regret_delta,regret_delta_ci95_low,regret_delta_ci95_high,fidelity_pass,planning_judgement,overall_gate,fixed_seed_repeat_pass
formal_500,500,6000,120,35,mlp_delta,True,0.12723538190737874,0.2970739017766492,0.02087384080803929,-0.021838252939764824,-0.052098810366812125,0.0075049059707743785,0.0063845332091053315,-0.0033585072339822864,0.0217649265192449,False,INCONCLUSIVE,PREDICTOR_FIDELITY_NOT_MET,True
scale_2000,2000,24000,433,110,mlp_delta_strong,True,0.1880460424557925,0.5190308616711734,0.04215598494077408,0.0087582483503299,-0.005785969276786476,0.022862691786223504,-0.0009058548949717228,-0.009750799826946953,0.006139304556983566,False,CONDITIONAL_PASS,PREDICTOR_FIDELITY_NOT_MET,
