scene_token,scene_candidate_index,pdm_score_change,minimum_clearance_change_m,minimum_dynamic_clearance_change_m,dynamic_collision_changed
01ee2001eff25729,0,0.0,0.7501544952392578,3.4109634160995483,False
01ee2001eff25729,2,0.0,0.0,0.0,False
01ee2001eff25729,3,0.0,0.0,0.0,False
01ee2001eff25729,5,0.0,0.0,0.0,False
01ee2001eff25729,6,0.0,0.0,0.0,False
01ee2001eff25729,7,0.0,0.0,0.0,False
01ee2001eff25729,8,0.0,0.0,0.0,False
01ee2001eff25729,9,0.0,0.0,0.0,False
01ee2001eff25729,10,0.0,0.0,0.0,False
01ee2001eff25729,11,0.0,0.0,0.0,False
01ee2001eff25729,12,0.0,0.0,0.0,False
01ee2001eff25729,13,0.0,0.0,0.0,False
01ee2001eff25729,15,0.0,0.0,0.0,False
01ef6b2ef15351ef,0,0.0,-0.44024229049682617,-0.44024229049682617,False
01ef6b2ef15351ef,1,0.0,0.0,0.0,False
01ef6b2ef15351ef,2,0.0,0.0,0.0,False
01ef6b2ef15351ef,3,0.0,0.0,0.0,False
01ef6b2ef15351ef,4,0.0,0.0,0.0,False
01ef6b2ef15351ef,5,0.0,0.0,0.0,False
01ef6b2ef15351ef,6,0.0,0.0,0.0,False
01ef6b2ef15351ef,7,0.0,0.0,0.0,False
01ef6b2ef15351ef,8,0.0,0.0,0.0,False
01ef6b2ef15351ef,9,0.0,0.0,0.0,False
01ef6b2ef15351ef,10,0.0,0.0,0.0,False
01ef6b2ef15351ef,11,0.0,0.0,0.0,False
01ef6b2ef15351ef,12,0.0,0.0,0.0,False
01ef6b2ef15351ef,13,0.0,0.0,0.0,False
01ef6b2ef15351ef,14,0.0,0.0,0.0,False
01ef6b2ef15351ef,15,0.0,0.0,0.0,False
02502e56fdf95e9b,0,-0.9611773664538806,-0.9733457565307617,-2.0748605728149414,True
02502e56fdf95e9b,1,0.0,0.0,0.0,False
02502e56fdf95e9b,2,0.0,0.0,0.0,False
02502e56fdf95e9b,3,0.0,0.0,0.0,False
02502e56fdf95e9b,4,0.0,0.0,0.0,False
02502e56fdf95e9b,5,0.0,0.0,0.0,False
02502e56fdf95e9b,6,0.0,0.0,0.0,False
02502e56fdf95e9b,7,0.0,0.0,0.0,False
02502e56fdf95e9b,8,0.0,0.0,0.0,False
02502e56fdf95e9b,9,0.0,0.0,0.0,False
02502e56fdf95e9b,10,0.0,0.0,0.0,False
02502e56fdf95e9b,11,0.0,0.0,0.0,False
02502e56fdf95e9b,12,0.0,0.0,0.0,False
02502e56fdf95e9b,13,0.0,0.0,0.0,False
02502e56fdf95e9b,14,0.0,0.0,0.0,False
02502e56fdf95e9b,15,0.0,0.0,0.0,False
0293ae7e4571567e,0,0.0,0.0,0.0,False
0293ae7e4571567e,1,0.0,0.0,0.0,False
0293ae7e4571567e,2,0.0,0.0,0.0,False
0293ae7e4571567e,3,0.0,0.0,0.0,False
0293ae7e4571567e,4,0.0,0.0,0.0,False
0293ae7e4571567e,5,0.0,0.0,0.0,False
0293ae7e4571567e,6,0.0,0.0,0.0,False
0293ae7e4571567e,7,0.0,0.0,0.0,False
0293ae7e4571567e,8,0.0,0.0,0.0,False
0293ae7e4571567e,9,0.0,0.0,0.0,False
0293ae7e4571567e,10,0.0,0.0,0.0,False
0293ae7e4571567e,11,0.0,0.0,0.0,False
0293ae7e4571567e,12,0.0,0.0,0.0,False
0293ae7e4571567e,13,0.0,0.0,0.0,False
0293ae7e4571567e,14,0.0,0.0,0.0,False
0293ae7e4571567e,15,0.0,0.0,0.0,False
0402fbb7cdba5843,0,-0.9957424284428052,-0.6606797575950623,-0.6606797575950623,True
