scene_token,scene_index,candidate_count,target_file,C_environment_only_finite_coverage,actor_slot_valid_coverage,horizon_coverage,reactive_response_coverage,traffic_policy
67d5ee750ff158f3,0,12,targets/67d5ee750ff158f3.npz,1.0,1.0,1.0,0.0,non_reactive
eba65f8ed1595356,1,12,targets/eba65f8ed1595356.npz,1.0,1.0,1.0,0.0,non_reactive
c5b05694c7315fe0,2,12,targets/c5b05694c7315fe0.npz,1.0,1.0,1.0,0.0,non_reactive
6f58c37b561e51ae,3,12,targets/6f58c37b561e51ae.npz,1.0,1.0,1.0,0.0,non_reactive
9f4798b55f4858ea,4,12,targets/9f4798b55f4858ea.npz,1.0,1.0,1.0,0.0,non_reactive
a03d891c48dc5e6c,5,12,targets/a03d891c48dc5e6c.npz,1.0,1.0,1.0,0.0,non_reactive
01a9c058b7a65b02,6,12,targets/01a9c058b7a65b02.npz,1.0,1.0,1.0,0.0,non_reactive
454617f5a7eb5d3c,7,12,targets/454617f5a7eb5d3c.npz,1.0,1.0,1.0,0.0,non_reactive
a11bd94d574756bb,8,12,targets/a11bd94d574756bb.npz,1.0,1.0,1.0,0.0,non_reactive
cb5cc940b4b15849,9,12,targets/cb5cc940b4b15849.npz,1.0,1.0,1.0,0.0,non_reactive
9920f97dca875097,10,12,targets/9920f97dca875097.npz,1.0,1.0,1.0,0.0,non_reactive
ff9138c0bf275784,11,12,targets/ff9138c0bf275784.npz,1.0,1.0,1.0,0.0,non_reactive
03af70d4cfc45744,12,12,targets/03af70d4cfc45744.npz,1.0,1.0,1.0,0.0,non_reactive
0559bccc513e59c1,13,12,targets/0559bccc513e59c1.npz,1.0,1.0,1.0,0.0,non_reactive
36401e5bcc045657,14,12,targets/36401e5bcc045657.npz,1.0,1.0,1.0,0.0,non_reactive
212e3b93093a5e8c,15,12,targets/212e3b93093a5e8c.npz,1.0,1.0,1.0,0.0,non_reactive
946081fd69d75499,16,12,targets/946081fd69d75499.npz,1.0,1.0,1.0,0.0,non_reactive
262e84d6ac5c527a,17,12,targets/262e84d6ac5c527a.npz,1.0,1.0,1.0,0.0,non_reactive
70f91d4a7b9d5691,18,12,targets/70f91d4a7b9d5691.npz,1.0,1.0,1.0,0.0,non_reactive
3522d2c26b6d5a19,19,12,targets/3522d2c26b6d5a19.npz,1.0,1.0,1.0,0.0,non_reactive
a3bf2929e85b5762,20,12,targets/a3bf2929e85b5762.npz,1.0,1.0,1.0,0.0,non_reactive
bc43b060073c5d44,21,12,targets/bc43b060073c5d44.npz,1.0,1.0,1.0,0.0,non_reactive
d4a9d0d953115883,22,12,targets/d4a9d0d953115883.npz,1.0,1.0,1.0,0.0,non_reactive
b2da663d16cc5302,23,12,targets/b2da663d16cc5302.npz,1.0,1.0,1.0,0.0,non_reactive
92861243b411546c,24,12,targets/92861243b411546c.npz,1.0,1.0,1.0,0.0,non_reactive
56e439ce20ea52b6,25,12,targets/56e439ce20ea52b6.npz,1.0,1.0,1.0,0.0,non_reactive
ea255c496dfc5f88,26,12,targets/ea255c496dfc5f88.npz,1.0,1.0,1.0,0.0,non_reactive
a2931ee2dfb553df,27,12,targets/a2931ee2dfb553df.npz,1.0,1.0,1.0,0.0,non_reactive
3284445e0cd5543f,28,12,targets/3284445e0cd5543f.npz,1.0,1.0,1.0,0.0,non_reactive
7af799039a065975,29,12,targets/7af799039a065975.npz,1.0,1.0,1.0,0.0,non_reactive
eeba28afc90a5508,30,12,targets/eeba28afc90a5508.npz,1.0,1.0,1.0,0.0,non_reactive
8e146855d3fe548e,31,12,targets/8e146855d3fe548e.npz,1.0,1.0,1.0,0.0,non_reactive
361ad2d18fa750c4,32,12,targets/361ad2d18fa750c4.npz,1.0,0.65625,1.0,0.0,non_reactive
70fe814ec6205b9c,33,12,targets/70fe814ec6205b9c.npz,1.0,0.96875,1.0,0.0,non_reactive
