model,fold,epoch,monitor_delta,monitor_raw,monitor_total,train_delta,train_raw,train_total,best_epoch
mlp_delta,0,0,2.0606865882873535,0.9939829111099243,3.0546693801879883,4.410702705383301,1.037666916847229,5.44836950302124,44
mlp_delta,0,1,1.3535816669464111,0.9742777943611145,2.327859401702881,1.8401442766189575,1.0203282833099365,2.8604726791381836,44
mlp_delta,0,2,1.1176655292510986,0.9500612020492554,2.0677266120910645,1.2000778913497925,0.9967135787010193,2.196791410446167,44
mlp_delta,0,3,1.0211067199707031,0.925989031791687,1.9470957517623901,1.0158604383468628,0.9690343737602234,1.9848947525024414,44
mlp_delta,0,4,0.9742820858955383,0.9043809771537781,1.8786630630493164,0.9478409290313721,0.9423227906227112,1.8901636600494385,44
mlp_delta,0,5,0.9485469460487366,0.8859453797340393,1.8344923257827759,0.9171943068504333,0.9185478091239929,1.8357421159744263,44
mlp_delta,0,6,0.9330283999443054,0.8706718683242798,1.8037002086639404,0.901165246963501,0.8981568813323975,1.7993221282958984,44
mlp_delta,0,7,0.9229885339736938,0.8582479357719421,1.7812364101409912,0.891742467880249,0.8809700012207031,1.7727124691009521,44
mlp_delta,0,8,0.9161287546157837,0.8482264280319214,1.764355182647705,0.885635256767273,0.8665649890899658,1.7522002458572388,44
mlp_delta,0,9,0.9112375378608704,0.8400985598564148,1.7513360977172852,0.8813197016716003,0.8544283509254456,1.735748052597046,44
mlp_delta,0,10,0.9076353907585144,0.8333414793014526,1.7409768104553223,0.8780210018157959,0.8440141081809998,1.7220351696014404,44
mlp_delta,0,11,0.9049255847930908,0.8274587988853455,1.732384443283081,0.875315248966217,0.8347834348678589,1.7100987434387207,44
mlp_delta,0,12,0.902873694896698,0.8220152854919434,1.7248890399932861,0.8729572892189026,0.8262394666671753,1.6991968154907227,44
mlp_delta,0,13,0.9013461470603943,0.8166581392288208,1.7180042266845703,0.870799720287323,0.8179581761360168,1.6887578964233398,44
mlp_delta,0,14,0.9002785682678223,0.8111165165901184,1.711395025253296,0.8687537312507629,0.809604287147522,1.6783580780029297,44
mlp_delta,0,15,0.8996584415435791,0.8051930069923401,1.7048513889312744,0.8667677044868469,0.8009300827980042,1.667697787284851,44
mlp_delta,0,16,0.8995175957679749,0.7987557649612427,1.6982734203338623,0.8648157715797424,0.7917633056640625,1.6565790176391602,44
mlp_delta,0,17,0.8999288082122803,0.7917317152023315,1.6916605234146118,0.8628922700881958,0.7820006608963013,1.644892930984497,44
mlp_delta,0,18,0.901003897190094,0.784101128578186,1.6851050853729248,0.8610079884529114,0.771601676940918,1.6326096057891846,44
mlp_delta,0,19,0.9028903245925903,0.7758888602256775,1.678779125213623,0.8591865301132202,0.7605836987495422,1.6197702884674072,44
mlp_delta,0,20,0.905762791633606,0.7671598792076111,1.6729226112365723,0.8574610948562622,0.749016523361206,1.6064776182174683,44
mlp_delta,0,21,0.9098034501075745,0.7580147385597229,1.6678181886672974,0.8558689951896667,0.7370160818099976,1.5928850173950195,44
mlp_delta,0,22,0.9151679873466492,0.7485869526863098,1.663754940032959,0.8544438481330872,0.7247387766838074,1.5791826248168945,44
mlp_delta,0,23,0.9219366908073425,0.7390404939651489,1.6609771251678467,0.853206217288971,0.7123722434043884,1.5655784606933594,44
mlp_delta,0,24,0.9300559163093567,0.729564905166626,1.659620761871338,0.8521528840065002,0.7001228332519531,1.5522756576538086,44
mlp_delta,0,25,0.939292848110199,0.7203665375709534,1.6596593856811523,0.851248562335968,0.6881981492042542,1.5394467115402222,44
mlp_delta,0,26,0.949229896068573,0.7116501331329346,1.6608800888061523,0.8504208326339722,0.6767874360084534,1.5272083282470703,44
