PDMS_percent,assignment_motion_ADE,assignment_motion_FDE,cameras_1_recall,cameras_2_recall,cameras_3_recall,centre_error_matched,class_correct_detection_recall_2m,comfort,detection_recall_2m,drivable_area_compliance,driving_direction_compliance,ego_progress,failed,false_positives,far_detection_recall,gt_targets,mean_inference_seconds,middle_detection_recall,motion_ADE_detected,motion_FDE_detected,motion_valid_detection_coverage,near_detection_recall,no_at_fault_collisions,run,scenes,time_to_collision_within_bound,yaw_error_matched_radians,zero_fraction
93.14457487854334,,,,,,,,0.9982311320754716,,0.9876179245283019,0.9890919811320755,0.8546914951982479,0,,,,0.2943374325327997,,,,,,1.0,A0,1696,0.9988207547169812,,0.012382075471698114
89.80490186933702,,,,,,,,0.9982311320754716,,0.9540094339622641,0.9887971698113207,0.8247751920339033,0,,,,0.4498963876240799,,,,,,0.9994103773584906,A1_seed42,1696,0.9952830188679245,,0.04658018867924528
88.36092209419499,26.498464739119573,27.332894529798253,0.0,0.0,,,0.0,0.9988207547169812,0.0,0.941627358490566,0.9899764150943396,0.8097480363519919,0,0.0,0.0,35145.0,0.43868122739225346,0.0,,,0.0,0.0,0.9991155660377359,A2_seed42,1696,0.9941037735849056,,0.05837264150943396
87.21414994228078,17.451155384087457,18.599350813384977,0.008031371366087251,0.00011595547309833024,,1.0051596937439988,0.005633802816901409,0.9982311320754716,0.006089059610186371,0.9339622641509434,0.9861438679245284,0.8049693244886554,0,29940.0,0.0,35145.0,0.4290342611153083,0.010714651901978879,4.7854506229822,8.106777627553258,0.006193921852387844,0.0016318537859007832,0.9941037735849056,B_seed42,1696,0.9829009433962265,0.2142245259057626,0.06898584905660378
88.5269784589324,15.29708944743971,15.872769895360532,0.005844425172504808,0.0,,1.0998645117205958,0.0007397922890880638,0.9976415094339622,0.004410300184948072,0.941627358490566,0.9887971698113207,0.8128550301841901,0,24952.0,0.0,35145.0,0.4295550856139634,0.007946272941658977,6.813087656134595,8.680532239573566,0.0044573082489146165,0.0,0.9991155660377359,C_seed42,1696,0.9935141509433962,0.2255255614707787,0.0589622641509434
90.57014491721881,17.799795856234205,18.565203554032013,0.0021115342558727045,0.0,,1.0435563429657901,0.0008820600369896144,0.9982311320754716,0.0015933987764973681,0.9616745283018868,0.9893867924528302,0.8321740440509862,0,12076.0,0.0,35145.0,0.4374223295390553,0.002870911514405824,2.982104489845889,4.43586360716394,0.0016208393632416787,0.0,1.0,D_seed42,1696,0.995872641509434,0.2564360842557757,0.038325471698113206
89.53802807623299,14.912378882241343,15.508730829806666,0.00686248633158629,0.0,,1.1332147023998773,0.00409731113956466,0.9976415094339622,0.0051785460236164465,0.9516509433962265,0.9896816037735849,0.8222617304333656,0,16559.0,0.0,35145.0,0.43369504664629205,0.009330462421818928,6.14257426238609,7.870277550325475,0.005267727930535456,0.0,0.9997051886792453,E_seed42,1696,0.9946933962264151,0.2325843576454445,0.04834905660377359
91.77611954100907,17.0987956290502,18.05443731848053,0.0,0.0,,,0.0,0.995872641509434,0.0,0.972877358490566,0.9893867924528302,0.8489712086068607,0,0.0,0.0,35145.0,0.4293934493248773,0.0,,,0.0,0.0,0.9991155660377359,B_seed43,1696,0.9923349056603774,,0.027712264150943397
89.97111796255962,15.154678263539308,15.691845995577912,7.541193770973945e-05,0.00011595547309833024,,1.510348339875539,2.8453549580310145e-05,0.995872641509434,8.536064874093044e-05,0.9545990566037735,0.988502358490566,0.834188906573131,0,1098.0,0.0,35145.0,0.42622341904547595,0.00010253255408592229,5.011699517567952,5.620803991953532,8.683068017366137e-05,0.00032637075718015666,0.9991155660377359,C_seed43,1696,0.9887971698113207,0.9445558389027914,0.045990566037735846
90.70671012865763,15.42766359458958,16.01414617955783,0.0,0.0,,,0.0,0.995872641509434,0.0,0.9669811320754716,0.9893867924528302,0.8307346279934436,0,0.0,0.0,35145.0,0.4287295460279258,0.0,,,0.0,0.0,1.0,C_support_v6_seed42,1696,0.9941037735849056,,0.0330188679245283
90.49917467788889,15.143561978035956,15.679786696674439,0.00041476565740356696,0.0,,1.105309551412409,0.00017072129748186088,0.9964622641509434,0.00031298904538341156,0.964622641509434,0.9893867924528302,0.8276405696278253,0,454.0,0.0,35145.0,0.4356178034158459,0.0005639290474725725,8.366558161648838,9.169902368025346,0.0003183791606367583,0.0,0.9997051886792453,E_support_v6_seed42,1696,0.9946933962264151,0.8126921158453281,0.03537735849056604
91.2703671156493,15.228945429251871,15.78565169549751,0.0,0.0,,,0.0,0.9976415094339622,0.0,0.9716981132075472,0.9890919811320755,0.8345925843604869,0,0.0,0.0,35145.0,0.4359904850815546,0.0,,,0.0,0.0,1.0,E_adapter_support_v6_seed42,1696,0.9952830188679245,,0.02830188679245283
