bootstrap_samples,channel,channel_index,ci_high,ci_low,confidence,method,metric,point,seed
1000,candidate_relative_dynamic_occupancy,0,0.14873686689381546,0.12787336161484442,0.95,factual_only,auprc,0.13729157508012182,20260821
1000,candidate_relative_dynamic_occupancy,0,1.095372241978559,1.0049622537363947,0.95,factual_only,balanced_bce,1.0512289806231117,20260821
1000,candidate_relative_dynamic_occupancy,0,0.07485201078913017,0.06287647763722926,0.95,factual_only,iou,0.06849149235241507,20260821
1000,drivable_area_sdf,1,0.0675552051964216,0.060740087168756875,0.95,factual_only,huber,0.06412540894374251,20260821
1000,drivable_area_sdf,1,0.2890647681541741,0.27364349759072065,0.95,factual_only,normalized_l1,0.2818419776558876,20260821
1000,lane_sdf,2,0.060765281531214715,0.0545340238195844,0.95,factual_only,huber,0.05759202697314322,20260821
1000,lane_sdf,2,0.2731594414476305,0.25829003844335674,0.95,factual_only,normalized_l1,0.26593567928671835,20260821
1000,route_sdf,3,0.05998692856563721,0.0507298125408357,0.95,factual_only,huber,0.05505213642213493,20260821
1000,route_sdf,3,0.2599876194719225,0.2415511034294963,0.95,factual_only,normalized_l1,0.25060906654596327,20260821
1000,relative_longitudinal_velocity,4,0.03405027392213621,0.0274983162896145,0.95,factual_only,masked_huber,0.030641894900569847,20260821
1000,relative_longitudinal_velocity,4,0.1950899026542902,0.17595093124759537,0.95,factual_only,masked_l1,0.18551120243500918,20260821
1000,relative_lateral_velocity,5,0.03279906381623732,0.025652671880682952,0.95,factual_only,masked_huber,0.029298879588895942,20260821
1000,relative_lateral_velocity,5,0.19456441062308538,0.17106419616534063,0.95,factual_only,masked_l1,0.18279091326209407,20260821
1000,dynamic_clearance,6,0.03757211322044022,0.0334404314168496,0.95,factual_only,huber,0.03546284246724099,20260821
1000,dynamic_clearance,6,0.21801945134066045,0.2038296085782349,0.95,factual_only,normalized_l1,0.21076519446074962,20260821
1000,dynamic_collision_field,7,0.43985777575297924,0.3937571620914731,0.95,factual_only,auprc,0.4168979826029436,20260821
1000,dynamic_collision_field,7,0.8871116346900066,0.8324440329857963,0.95,factual_only,balanced_bce,0.8604251485730181,20260821
1000,dynamic_collision_field,7,0.29442233653143207,0.25167907179954563,0.95,factual_only,iou,0.27264473846031456,20260821
1000,ego_swept_footprint,8,0.9913841321220033,0.9890291060545816,0.95,factual_only,auprc,0.9902538429517224,20260821
1000,ego_swept_footprint,8,0.08291217792232661,0.06107066072608499,0.95,factual_only,balanced_bce,0.07149206199228468,20260821
1000,ego_swept_footprint,8,0.9356388010114431,0.9272099211126565,0.95,factual_only,dice,0.9314730862379074,20260821
1000,ego_swept_footprint,8,0.9002374949478537,0.8863000553886655,0.95,factual_only,iou,0.8933371949763044,20260821
1000,all,-1,0.2202899035587907,0.21350362372621895,0.95,factual_only,structured_effect_mae,0.2167982822358608,20260821
1000,candidate_relative_dynamic_occupancy,0,0.0055630418375738466,0.0045992599578382936,0.95,factual_only,predicted_action_gap,0.005076527952261476,20260821
1000,candidate_relative_dynamic_occupancy,0,109384039.68420906,15229482.276936647,0.95,factual_only,predicted_target_sensitivity_ratio,51396538.44615052,20260821
1000,candidate_relative_dynamic_occupancy,0,0.14953813238148697,0.13623101218357173,0.95,factual_only,target_action_gap,0.14264755005494628,20260821
1000,drivable_area_sdf,1,0.006656780778735083,0.005516257278466991,0.95,factual_only,predicted_action_gap,0.006088099396728121,20260821
1000,drivable_area_sdf,1,21517500.646600604,0.08417653922997748,0.95,factual_only,predicted_target_sensitivity_ratio,8086008.12931226,20260821
1000,drivable_area_sdf,1,0.08669259818842844,0.08068321466572374,0.95,factual_only,target_action_gap,0.08359363173829103,20260821
1000,lane_sdf,2,0.006634445505429884,0.00549070705284568,0.95,factual_only,predicted_action_gap,0.00606421322632302,20260821
1000,lane_sdf,2,8525986.786700744,0.07449400434429014,0.95,factual_only,predicted_target_sensitivity_ratio,2841995.649787519,20260821
1000,lane_sdf,2,0.09553734142481798,0.08783151239517009,0.95,factual_only,target_action_gap,0.09147007767400094,20260821
1000,route_sdf,3,0.008652900180399667,0.007114561889493573,0.95,factual_only,predicted_action_gap,0.007884434502870888,20260821
1000,route_sdf,3,19848405.794184297,0.12332127961212803,0.95,factual_only,predicted_target_sensitivity_ratio,7862436.559620993,20260821
1000,route_sdf,3,0.07346289954293753,0.06760430525002825,0.95,factual_only,target_action_gap,0.07036854761074586,20260821
1000,relative_longitudinal_velocity,4,0.004122210542745647,0.0034411851122521167,0.95,factual_only,predicted_action_gap,0.0037816536702440975,20260821
1000,relative_longitudinal_velocity,4,80071020.75754076,15618477.598494304,0.95,factual_only,predicted_target_sensitivity_ratio,40897580.93825904,20260821
