subset,scene_count,pair_count,replay_positive_count,reactive_positive_count,disagreement_count,ranking_disagreement_count,raw_agreement,positive_agreement,cohen_kappa,mcc,tie_aware_kendall
all_pairs,128,13353,1481,1386,125,212,0.9906388077585562,0.9564004185559819,0.9511633587952432,0.951819191193687,0.9828898632071803
divergent_pairs,118,3696,1470,1370,102,115,0.9724025974025974,0.9640845070422536,0.9417218543046357,0.9432627337289786,0.9716094823367909
safety_boundary_pairs,51,542,542,477,65,68,0.8800738007380073,0.9362119725220804,0.0,0.0,0.8966469015723874
at_least_one_unsafe_pairs,55,2421,1481,1371,110,113,0.9545642296571665,0.9614305750350631,0.9063538446931736,0.9103543576152385,0.950131669110094
dynamic_interaction_scenes,120,12438,1396,1301,125,212,0.9899501527576781,0.953652206154987,0.9480240862017564,0.9487645936664261,0.9814316794489265
low_ttc_scenes,3,345,44,0,44,44,0.8724637681159421,0.0,0.0,0.0,0.0
idm_reacted_scenes,102,10442,1146,1051,125,212,0.9880291131967056,0.9431042330450614,0.9364290653570089,0.9375239046878996,0.9776337919527616
