scene_token,candidate_index,NC,DAC,DDC,EP,TTC,Comfort,raw_progress,old_five_factor_score,new_six_factor_score,evaluator_score,old_error,new_error
0fcede1cbfb15faa,0,0.0,1.0,1.0,0.0,0.0,0.0,30.128225326538086,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,1,0.0,1.0,1.0,0.0,0.0,1.0,8.4288330078125,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,2,0.0,1.0,1.0,0.0,0.0,0.0,20.78697967529297,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,3,1.0,1.0,1.0,1.0,0.0,1.0,3.192701816558838,0.5833333333333334,0.5833333333333334,0.5833333134651184,1.9868214962137642e-08,1.9868214962137642e-08
0fcede1cbfb15faa,4,0.0,1.0,1.0,0.0,0.0,0.0,25.238618850708008,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,5,0.0,1.0,1.0,0.0,0.0,1.0,14.905366897583008,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,6,0.0,1.0,0.5,0.0,0.0,1.0,14.205150604248047,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,7,0.0,0.0,0.5,0.0,0.0,1.0,10.690696716308594,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,8,0.0,1.0,0.5,0.0,0.0,1.0,6.286726474761963,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,9,0.0,0.0,0.5,0.0,0.0,0.0,22.525949478149414,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,10,0.0,1.0,0.5,0.0,0.0,0.0,14.3583984375,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,11,0.0,1.0,0.5,0.0,0.0,1.0,13.094850540161133,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,12,0.0,1.0,0.5,0.0,0.0,1.0,5.931835174560547,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,13,0.0,0.0,0.5,0.0,0.0,1.0,8.386039733886719,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,14,0.0,1.0,0.5,0.0,0.0,0.0,34.54509353637695,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,15,0.0,1.0,0.5,0.0,0.0,1.0,8.532496452331543,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,16,0.0,1.0,0.5,0.0,0.0,1.0,16.46530532836914,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,17,0.0,1.0,0.5,0.0,0.0,1.0,7.939546585083008,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,18,0.0,1.0,0.5,0.0,0.0,1.0,11.103706359863281,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,19,0.0,1.0,0.5,0.0,0.0,0.0,32.351295471191406,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,20,0.0,1.0,0.5,0.0,0.0,0.0,23.571712493896484,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,21,0.0,1.0,0.5,0.0,0.0,0.0,26.44614028930664,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,22,0.0,0.0,0.5,0.0,0.0,1.0,9.468595504760742,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,23,0.0,1.0,0.5,0.0,0.0,1.0,11.418009757995605,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,24,0.0,0.0,0.5,0.0,0.0,1.0,9.285226821899414,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,25,0.0,1.0,0.5,0.0,0.0,0.0,20.952728271484375,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,26,0.0,1.0,0.5,0.0,0.0,1.0,7.419704437255859,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,27,0.0,1.0,0.5,0.0,0.0,0.0,24.159446716308594,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,28,0.0,1.0,0.5,0.0,0.0,1.0,13.022683143615723,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,29,1.0,1.0,0.5,0.12871770560741425,1.0,1.0,0.8219144940376282,0.6369657106697559,0.31848285533487797,0.3184828460216522,0.3184828646481037,9.313225746154785e-09
0fcede1cbfb15faa,30,0.0,1.0,0.5,0.0,0.0,0.0,16.79299545288086,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,31,0.0,1.0,0.5,0.0,0.0,1.0,9.884198188781738,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,32,0.0,1.0,0.5,0.0,0.0,0.0,29.14662742614746,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,33,0.0,1.0,0.5,0.0,0.0,0.0,20.659740447998047,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,34,0.0,1.0,0.5,0.0,0.0,1.0,6.0560760498046875,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,35,0.0,1.0,0.5,0.0,0.0,1.0,14.962173461914062,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,36,0.0,1.0,1.0,0.0,0.0,1.0,13.663199424743652,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,37,0.0,0.0,0.5,0.0,0.0,0.0,18.537776947021484,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,38,1.0,1.0,1.0,0.603958785533905,1.0,1.0,1.928260326385498,0.8349828273057938,0.8349828273057938,0.8349828124046326,1.4901161193847656e-08,1.4901161193847656e-08
0fcede1cbfb15faa,39,0.0,1.0,0.5,0.0,0.0,0.0,28.63909339904785,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,40,0.0,1.0,0.5,0.0,0.0,0.0,17.130779266357422,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,41,0.0,1.0,0.5,0.0,0.0,0.0,31.580541610717773,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,42,0.0,1.0,0.5,0.0,0.0,0.0,20.137500762939453,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,43,0.0,0.0,0.5,0.0,0.0,1.0,13.855817794799805,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,44,0.0,1.0,0.5,0.0,0.0,1.0,9.018951416015625,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,45,0.0,1.0,0.5,0.0,0.0,1.0,12.341598510742188,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,46,1.0,0.0,0.5,0.0,0.0,1.0,5.702340602874756,0.0,0.0,0.0,0.0,0.0
0fcede1cbfb15faa,47,0.0,1.0,0.5,0.0,0.0,1.0,6.6583404541015625,0.0,0.0,0.0,0.0,0.0
