scene_token,factors_array_equal,score_array_equal,raw_progress_array_equal,oracle_index_equal,candidate_indices_equal,max_factor_absolute_error,max_score_absolute_error,max_raw_progress_absolute_error,score_reconstruction_max_error
0fcede1cbfb15faa,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
281f6ff8ed715256,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
41f1d3b5067d58c1,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
70df39aae7b05204,True,True,True,True,True,0.0,0.0,0.0,1.7384688022481498e-08
3cf7edf4ad015849,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
745730128823551b,True,True,True,True,True,0.0,0.0,0.0,2.949188149248272e-08
d7893388397e5076,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
73f471f62fe75774,True,True,True,True,True,0.0,0.0,0.0,2.4835268619405326e-08
4db513bb187a5415,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
0819aa49423b5fac,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
52d0647193455c3b,True,True,True,True,True,0.0,0.0,0.0,2.3593505260599557e-08
8b340e8afb3952b4,True,True,True,True,True,0.0,0.0,0.0,3.973642981325298e-08
c6cd57d4069b55bb,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
b0a23da019fb5995,True,True,True,True,True,0.0,0.0,0.0,1.5522042928761692e-08
7e0967010e545f55,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
d618facbff6b5c43,True,True,True,True,True,0.0,0.0,0.0,1.4901161193847656e-08
cb3426c1eef252ef,True,True,True,True,True,0.0,0.0,0.0,2.9802322387695312e-08
99cd9388b8fa5c6c,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
256071d2206d5fa3,True,True,True,True,True,0.0,0.0,0.0,3.2285849216329154e-08
34dd5725878653e6,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
f9b5f561efb9534f,True,True,True,True,True,0.0,0.0,0.0,1.9868214962137642e-08
97800c7b1d275d71,True,True,True,True,True,0.0,0.0,0.0,3.47693761559853e-08
