scene_token,factor,available,mismatch_rate,max_absolute_error,mean_absolute_error
0fcede1cbfb15faa,NC,True,0.0,0.0,0.0
0fcede1cbfb15faa,DAC,True,0.0,0.0,0.0
0fcede1cbfb15faa,DDC,True,0.0,0.0,0.0
0fcede1cbfb15faa,EP,True,0.04296875,0.9123137593269348,0.031505286693573
0fcede1cbfb15faa,TTC,True,0.0,0.0,0.0
0fcede1cbfb15faa,Comfort,True,0.0,0.0,0.0
281f6ff8ed715256,NC,True,0.0,0.0,0.0
281f6ff8ed715256,DAC,True,0.0,0.0,0.0
281f6ff8ed715256,DDC,True,0.0,0.0,0.0
281f6ff8ed715256,EP,True,0.0,0.0,0.0
281f6ff8ed715256,TTC,True,0.0,0.0,0.0
281f6ff8ed715256,Comfort,True,0.0,0.0,0.0
41f1d3b5067d58c1,NC,True,0.0,0.0,0.0
41f1d3b5067d58c1,DAC,True,0.0,0.0,0.0
41f1d3b5067d58c1,DDC,True,0.0,0.0,0.0
41f1d3b5067d58c1,EP,True,0.0,0.0,0.0
41f1d3b5067d58c1,TTC,True,0.0,0.0,0.0
41f1d3b5067d58c1,Comfort,True,0.0,0.0,0.0
70df39aae7b05204,NC,True,0.0,0.0,0.0
70df39aae7b05204,DAC,True,0.0,0.0,0.0
70df39aae7b05204,DDC,True,0.0,0.0,0.0
70df39aae7b05204,EP,True,0.0,0.0,0.0
70df39aae7b05204,TTC,True,0.0,0.0,0.0
70df39aae7b05204,Comfort,True,0.0,0.0,0.0
3cf7edf4ad015849,NC,True,0.0,0.0,0.0
3cf7edf4ad015849,DAC,True,0.0,0.0,0.0
3cf7edf4ad015849,DDC,True,0.0,0.0,0.0
3cf7edf4ad015849,EP,True,0.0,0.0,0.0
3cf7edf4ad015849,TTC,True,0.0,0.0,0.0
3cf7edf4ad015849,Comfort,True,0.0,0.0,0.0
745730128823551b,NC,True,0.0,0.0,0.0
745730128823551b,DAC,True,0.0,0.0,0.0
745730128823551b,DDC,True,0.0,0.0,0.0
745730128823551b,EP,True,0.0,0.0,0.0
745730128823551b,TTC,True,0.0,0.0,0.0
745730128823551b,Comfort,True,0.0,0.0,0.0
d7893388397e5076,NC,True,0.0,0.0,0.0
d7893388397e5076,DAC,True,0.0,0.0,0.0
d7893388397e5076,DDC,True,0.0,0.0,0.0
d7893388397e5076,EP,True,0.0,0.0,0.0
d7893388397e5076,TTC,True,0.0,0.0,0.0
d7893388397e5076,Comfort,True,0.0,0.0,0.0
73f471f62fe75774,NC,True,0.0,0.0,0.0
73f471f62fe75774,DAC,True,0.0,0.0,0.0
73f471f62fe75774,DDC,True,0.0,0.0,0.0
73f471f62fe75774,EP,True,0.0,0.0,0.0
73f471f62fe75774,TTC,True,0.0,0.0,0.0
73f471f62fe75774,Comfort,True,0.0,0.0,0.0
4db513bb187a5415,NC,True,0.0,0.0,0.0
4db513bb187a5415,DAC,True,0.0,0.0,0.0
4db513bb187a5415,DDC,True,0.0,0.0,0.0
4db513bb187a5415,EP,True,0.0,0.0,0.0
4db513bb187a5415,TTC,True,0.0,0.0,0.0
4db513bb187a5415,Comfort,True,0.0,0.0,0.0
0819aa49423b5fac,NC,True,0.0,0.0,0.0
0819aa49423b5fac,DAC,True,0.0,0.0,0.0
0819aa49423b5fac,DDC,True,0.0,0.0,0.0
0819aa49423b5fac,EP,True,0.0,0.0,0.0
0819aa49423b5fac,TTC,True,0.0,0.0,0.0
0819aa49423b5fac,Comfort,True,0.0,0.0,0.0
52d0647193455c3b,NC,True,0.0,0.0,0.0
52d0647193455c3b,DAC,True,0.0,0.0,0.0
52d0647193455c3b,DDC,True,0.0,0.0,0.0
52d0647193455c3b,EP,True,0.0,0.0,0.0
