feature,success_mean,failure_mean,mean_difference_success_minus_failure,standardized_effect_size_cohen_d,standard_error,ci_low,ci_high
N_0.99,35.627129437987584,10.494799658994033,25.13232977899355,1.6505272099743573,0.2746771778074492,24.589368433846893,25.66520220728206
N_0.95,41.38099028817067,19.75924978687127,21.621740501299403,1.3587840120154717,0.29156703162617836,21.061617445161684,22.191155541828806
selected_true_ego_progress,0.99464218205298,0.7974521301604192,0.1971900518925609,1.3349820398098526,0.002713123206231862,0.19177089859874916,0.20258367225290813
kendall_tau_b,0.48717687913630314,0.15741493412924815,0.329761945007055,0.9847061030801983,0.006187423459129137,0.31751431998234,0.3420592467756195
spearman,0.5761073491813349,0.19970665882761293,0.3764006903537219,0.9544050830157299,0.007228554483330393,0.36227409584838577,0.3906938887394215
N_0.90,46.6640662314918,33.35072463768116,13.313341593810641,0.8006831188491839,0.3062028183649067,12.719532503268015,13.929530170762225
selected_oracle_fde,3.1784581191054793,5.939486536617941,-2.7610284175124615,-0.7858118149178472,0.06317443286268838,-2.8838300169756876,-2.6367454867871682
selected_oracle_ade,1.3056945697108537,2.372606731184688,-1.0669121614738344,-0.7559810326170796,0.02567269226881701,-1.1167962448846,-1.0167902618053446
oracle_predicted_rank,28.077217003661836,41.67774936061381,-13.600532356951973,-0.7228873388017233,0.3418317446137587,-14.274497005339448,-12.922809802849311
M_B,0.8379560168055759,0.7534551036427432,0.0845009131628327,0.41592198716195977,0.003704874739030568,0.07735969059910937,0.09170520397362501
median_B,0.8977549936710754,0.7981802180930273,0.09957477557804806,0.3729571885922858,0.004860395910975923,0.09001317208040925,0.10904451558975317
selected_true_time_to_collision_within_bound,0.9984078968317147,0.9336743393009378,0.06473355753077692,0.36927439684373825,0.0032443218809033113,0.05831090748116119,0.07105346059843265
ego_speed,4.67799250911391,5.777984326336718,-1.0999918172228078,-0.33935456040184053,0.05858601396202551,-1.2161370389407455,-0.987077411155754
high_quality_cluster_count,3.8210476038847316,3.0214833759590793,0.7995642279256523,0.266494405976745,0.054023689245885846,0.6952071586821945,0.9045977632104181
selected_true_no_at_fault_collisions,0.9993631587326859,0.9807331628303495,0.018629995902336383,0.19328582861545981,0.0018068818781273794,0.015208643559318391,0.02226193205316296
command_index,0.8708804330520618,0.9803921568627451,-0.1095117238106833,-0.19155758418691698,0.010360534083448399,-0.12970393192476315,-0.08894357439784092
predicted_top1_top2_margin,0.0030485897321568954,0.00662183562406392,-0.0035732458919070244,-0.176135840378623,0.0003710229933320206,-0.004310793208332332,-0.0028586302126500486
endpoint_spread,3.977785831020444,3.7601502079700118,0.21763562305043216,0.17159045510303342,0.022975313706985082,0.1727419782305035,0.26341009524897174
oracle_second_true_margin,0.0012071180677664468,0.007856624269221242,-0.006649506201454795,-0.16152844342592002,0.0007586213480232455,-0.008159037338315573,-0.005179626862945776
selected_true_drivable_area_compliance,0.997293424613915,0.9807331628303495,0.01656026178356551,0.16144403846324482,0.001898938259590318,0.012888244808732519,0.02032262009418795
std_B,0.2039404945578237,0.22722229803637634,-0.023281803478552632,-0.15969111170190997,0.002665821731502151,-0.028433620119850025,-0.01800933036785639
pairwise_fde,4.581350094392163,4.34240071346864,0.2389493809235228,0.15161106696415438,0.028486964295157992,0.1829988194439378,0.2944282470940926
O_B,0.9960412049707268,0.9904517573468825,0.005589447623844279,0.12045443955430057,0.0008288712868346844,0.003919792809838829,0.007163319299442085
ego_acceleration_norm,0.8750730596370879,0.8122332585384817,0.06283980109860621,0.10965181918928968,0.010429952347246882,0.04253078085733383,0.08349616140326437
pairwise_ade,1.8262041536103149,1.7727905616476893,0.05341359196262552,0.08786804537218111,0.01098583906989316,0.031956870900042005,0.07521848213991067
selected_true_driving_direction_compliance,0.9741283235153638,0.9707587382779198,0.003369585237444017,0.023332218799720087,0.0026197066884104765,-0.0017861833269472716,0.008501641576450817
selected_true_comfort,1.0,1.0,0.0,0.0,0.0,0.0,0.0
