feature,logistic_mean_abs_standardized_coefficient,tree_mean_importance
selected_true_ego_progress,16.402227713318553,0.9277805601117983
selected_true_time_to_collision_within_bound,9.14328828468802,0.05734577347191148
O_B,6.940549858726257,0.0
N_0.99,2.3488362957672626,2.383210584538389e-05
oracle_second_true_margin,1.4571811901483873,0.0
kendall_tau_b,1.244476250147757,0.0
selected_true_no_at_fault_collisions,0.8507867659431559,0.0
selected_oracle_fde,0.7665978505508084,0.012741663983827211
pairwise_fde,0.4926534236648502,0.0
spearman,0.48007601105141573,0.0
endpoint_spread,0.46698723577352996,0.0
pairwise_ade,0.44073616080189837,0.0
N_0.95,0.36506369343179246,0.0
N_0.90,0.35745857709905626,0.0
std_B,0.2851450917747119,0.0010144690283543818
selected_oracle_ade,0.28131465835463204,0.0
M_B,0.21756767481167777,0.001060092867941662
selected_true_drivable_area_compliance,0.055192021854388394,0.0
median_B,0.05510034440657576,0.0
high_quality_cluster_count,0.04771901317912044,0.0
oracle_predicted_rank,0.0463989420751688,0.0
predicted_top1_top2_margin,0.042805182450172424,2.4583890603455728e-05
selected_true_driving_direction_compliance,0.03703207481415507,0.0
ego_speed,0.03086399295019074,0.0
ego_acceleration_norm,0.027901596274203178,9.024539718265967e-06
command_index,0.02227931111399879,0.0
selected_true_comfort,0.0,0.0
