oracle_bad_threshold,good_threshold,sparse_max_count,candidate_limited_share,sparse_good_share
0.85,0.9,1,0.0043635764860859546,0.006257204017783633
0.85,0.9,2,0.0043635764860859546,0.01267907129919315
0.85,0.9,4,0.0043635764860859546,0.024781821175695704
0.85,0.95,1,0.0043635764860859546,0.0220648773258686
0.85,0.95,2,0.0043635764860859546,0.03976617816565124
0.85,0.95,4,0.0043635764860859546,0.07516877984521653
0.85,0.99,1,0.0043635764860859546,0.040589494483780665
0.85,0.99,2,0.0043635764860859546,0.07599209616334596
0.85,0.99,4,0.0043635764860859546,0.12868434052362918
0.9,0.9,1,0.008480158076733081,0.006257204017783633
0.9,0.9,2,0.008480158076733081,0.01267907129919315
0.9,0.9,4,0.008480158076733081,0.024781821175695704
0.9,0.95,1,0.008480158076733081,0.0220648773258686
0.9,0.95,2,0.008480158076733081,0.03976617816565124
0.9,0.95,4,0.008480158076733081,0.07516877984521653
0.9,0.99,1,0.008480158076733081,0.040589494483780665
0.9,0.99,2,0.008480158076733081,0.07599209616334596
0.9,0.99,4,0.008480158076733081,0.12868434052362918
0.95,0.9,1,0.02988638234809814,0.006257204017783633
0.95,0.9,2,0.02988638234809814,0.01267907129919315
0.95,0.9,4,0.02988638234809814,0.024781821175695704
0.95,0.95,1,0.02988638234809814,0.0220648773258686
0.95,0.95,2,0.02988638234809814,0.03976617816565124
0.95,0.95,4,0.02988638234809814,0.07516877984521653
0.95,0.99,1,0.02988638234809814,0.040589494483780665
0.95,0.99,2,0.02988638234809814,0.07599209616334596
0.95,0.99,4,0.02988638234809814,0.12868434052362918
