failure_type,limitation,share,scene_occurrences
DAC failure,candidate_limited,0.2153846153846154,130
DAC failure,ranker_limited,0.6692307692307692,130
DDC failure,candidate_limited,0.029350104821802937,477
DDC failure,ranker_limited,0.15513626834381553,477
TTC failure,candidate_limited,0.09273182957393483,399
TTC failure,ranker_limited,0.8596491228070176,399
collision/NOC failure,candidate_limited,0.18181818181818182,121
collision/NOC failure,ranker_limited,0.7851239669421488,121
multi-metric joint failure,candidate_limited,0.12218045112781954,532
multi-metric joint failure,ranker_limited,0.5582706766917294,532
progress failure,candidate_limited,0.01898981989036805,5108
progress failure,ranker_limited,0.27270947533281126,5108
