target_kind,channel,within_scene_candidate_variance,between_scene_variance,action_variance_ratio,target_action_gap,predicted_action_gap,predicted_target_sensitivity_ratio,target_candidate_shuffle_effect,prediction_candidate_shuffle_gap,classification
raw_map,drivable_area,0.014496217481791973,0.16830027103424072,0.07930248975753784,0.19445134699344635,0.01065691839903593,0.05480506271123886,0.027641993016004562,-5.1837501814588904e-05,action_effect/action-dependent
raw_map,lane_or_connector,0.015344280749559402,0.16931647062301636,0.08309443295001984,0.19826237857341766,0.010492665693163872,0.05292313173413277,0.029276501387357712,-5.210012022871524e-05,action_effect/action-dependent
raw_map,route,0.010667742229998112,0.14933128654956818,0.06667379289865494,0.16402524709701538,0.011411618441343307,0.0695723295211792,0.02020721323788166,-4.155754140811041e-05,action_effect/action-dependent
raw_map,dynamic_occupancy,0.013048340566456318,0.03547612205147743,0.26890233159065247,0.15886500477790833,0.011200271546840668,0.07050181925296783,0.025757160037755966,-5.4637248467770405e-06,action_effect/action-dependent
raw_map,relative_longitudinal_velocity,0.0007535730255767703,0.0017850445583462715,0.29684382677078247,0.03794074058532715,0.007603952195495367,0.20041655004024506,0.005288045387715101,-6.596990260732127e-07,action_effect/action-dependent
raw_map,relative_lateral_velocity,2.6217816412099637e-05,5.2123057685093954e-05,0.3346633017063141,0.004459277261048555,0.002841370180249214,0.6371817588806152,0.00034142142976634204,2.550100646203646e-07,action_effect/action-dependent
raw_map,dynamic_clearance,0.0009265989647246897,0.07466728240251541,0.0122575918212533,0.05025766044855118,0.006838356144726276,0.13606594502925873,0.01882283203303814,1.3120970834279433e-05,action_effect/action-dependent
effect_tube,candidate_relative_dynamic_occupancy,0.00945021491497755,0.029615171253681183,0.24190762639045715,0.1310274302959442,nan,nan,0.018452445045113564,nan,action_effect/action-dependent
effect_tube,drivable_area_sdf,0.002614119090139866,0.17096470296382904,0.015060126781463623,0.08105434477329254,nan,nan,0.029215490445494652,nan,action_effect/action-dependent
effect_tube,lane_sdf,0.003648371435701847,0.1501452773809433,0.023722510784864426,0.09013925492763519,nan,nan,0.034200482070446014,nan,action_effect/action-dependent
effect_tube,route_sdf,0.0021892720833420753,0.15515320003032684,0.013914056122303009,0.0692395269870758,nan,nan,0.025899723172187805,nan,action_effect/action-dependent
effect_tube,relative_longitudinal_velocity,0.0005217211437411606,0.00151948316488415,0.25559476017951965,0.029298091307282448,nan,nan,0.0032343706116080284,nan,action_effect/action-dependent
effect_tube,relative_lateral_velocity,0.00039422986446879804,0.0010909400880336761,0.265444278717041,0.022910848259925842,nan,nan,0.0029205114115029573,nan,action_effect/action-dependent
effect_tube,dynamic_clearance,0.0010123304091393948,0.10252266377210617,0.009777664206922054,0.05000297725200653,nan,nan,0.01827697828412056,nan,action_effect/action-dependent
effect_tube,dynamic_collision_field,0.014820469543337822,0.1611882895231247,0.08420301973819733,0.17664462327957153,nan,nan,0.02830466441810131,nan,action_effect/action-dependent
effect_tube,ego_swept_footprint,0.0005236708093434572,0.0030266009271144867,0.1475016176700592,0.02577592432498932,nan,nan,0.0010509216226637363,nan,action_effect/action-dependent
