log_name,fold,expected_scenes,summary_present,summary_complete,summary_failure_count,target_scenes,target_coverage,candidate_rows,candidate_scenes,candidate_valid,gt_exactly_once_rate,candidate_index_valid_rate,metric_rows,metric_scenes,metric_valid,scoring_success_rate
2021.05.12.19.36.12_veh-35_00005_00204,4,6,True,True,0,6,1.0,96,6,True,1.0,1.0,96,6,True,1.0
2021.05.12.19.36.12_veh-35_00215_00405,3,32,True,True,0,32,1.0,512,32,True,1.0,1.0,512,32,True,1.0
2021.05.12.19.36.12_veh-35_00416_00557,1,48,True,True,0,48,1.0,768,48,True,1.0,1.0,768,48,True,1.0
2021.05.12.19.36.12_veh-35_00568_01168,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.19.36.12_veh-35_01179_01278,2,5,True,True,0,5,1.0,80,5,True,1.0,1.0,80,5,True,1.0
2021.05.12.19.36.12_veh-35_01400_01643,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.19.36.12_veh-35_01744_01934,4,19,True,True,0,19,1.0,304,19,True,1.0,1.0,304,19,True,1.0
2021.05.12.19.36.12_veh-35_01945_02065,2,24,True,True,0,24,1.0,384,24,True,1.0,1.0,384,24,True,1.0
2021.05.12.19.36.12_veh-35_02079_02176,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.22.00.38_veh-35_00005_00118,1,6,True,True,0,6,1.0,96,6,True,1.0,1.0,96,6,True,1.0
2021.05.12.22.00.38_veh-35_00129_00204,0,19,True,True,0,19,1.0,304,19,True,1.0,1.0,304,19,True,1.0
2021.05.12.22.00.38_veh-35_00215_00995,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.22.00.38_veh-35_01008_01518,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.22.28.35_veh-35_00025_00115,2,21,True,True,0,21,1.0,336,21,True,1.0,1.0,336,21,True,1.0
2021.05.12.22.28.35_veh-35_00126_00339,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.22.28.35_veh-35_00350_00568,3,40,True,True,0,40,1.0,640,40,True,1.0,1.0,640,40,True,1.0
2021.05.12.22.28.35_veh-35_00620_01164,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.22.28.35_veh-35_01175_02127,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.22.28.35_veh-35_02138_02481,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.23.36.44_veh-35_00063_00141,2,23,True,True,0,23,1.0,368,23,True,1.0,1.0,368,23,True,1.0
2021.05.12.23.36.44_veh-35_00152_00504,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.23.36.44_veh-35_00515_00701,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.23.36.44_veh-35_00712_00774,1,30,True,True,0,30,1.0,480,30,True,1.0,1.0,480,30,True,1.0
2021.05.12.23.36.44_veh-35_00785_01041,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.23.36.44_veh-35_01133_01535,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.23.36.44_veh-35_01585_01724,0,46,True,True,0,46,1.0,736,46,True,1.0,1.0,736,46,True,1.0
2021.05.12.23.36.44_veh-35_01735_01957,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.05.12.23.36.44_veh-35_02035_02387,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.11.59.52_veh-35_02283_02464,4,17,True,True,0,17,1.0,272,17,True,1.0,1.0,272,17,True,1.0
2021.06.07.12.42.11_veh-38_01777_02078,4,14,True,True,0,14,1.0,224,14,True,1.0,1.0,224,14,True,1.0
2021.06.07.12.42.11_veh-38_02445_02843,0,43,True,True,0,43,1.0,688,43,True,1.0,1.0,688,43,True,1.0
2021.06.07.12.42.11_veh-38_03254_03455,2,40,True,True,0,40,1.0,640,40,True,1.0,1.0,640,40,True,1.0
2021.06.07.12.54.00_veh-35_01843_02314,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.13.53.57_veh-35_01772_02032,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.13.53.57_veh-35_02489_03145,1,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.17.46.49_veh-35_02607_03120,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.17.46.49_veh-35_04084_04828,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.17.46.49_veh-35_04839_05184,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.17.48.02_veh-38_01949_02085,0,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.18.53.26_veh-26_00005_00427,2,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.18.53.26_veh-26_01208_01412,3,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
2021.06.07.19.29.59_veh-38_00474_00922,4,34,True,True,0,34,1.0,544,34,True,1.0,1.0,544,34,True,1.0
2021.06.07.19.29.59_veh-38_01025_01274,4,50,True,True,0,50,1.0,800,50,True,1.0,1.0,800,50,True,1.0
