group,model,fold,factor,bin,lower,upper,count,mean_probability,observed_rate
O0,linear,0,collision,0,0.0,0.1,26711,0.0896714662013876,0.0417805398524952
O0,linear,0,collision,1,0.1,0.2,118484,0.1260016501259996,0.0726427196921103
O0,linear,0,collision,2,0.2,0.3,21,0.208885744923637,0.0476190476190476
O0,linear,0,collision,3,0.3,0.4,0,,
O0,linear,0,collision,4,0.4,0.5,0,,
O0,linear,0,collision,5,0.5,0.6000000000000001,0,,
O0,linear,0,collision,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,0,collision,7,0.7000000000000001,0.8,0,,
O0,linear,0,collision,8,0.8,0.9,0,,
O0,linear,0,collision,9,0.9,1.0,0,,
O0,linear,0,ttc,0,0.0,0.1,12,0.0950603131204843,0.0833333333333333
O0,linear,0,ttc,1,0.1,0.2,131585,0.1753243617066547,0.1469468404453395
O0,linear,0,ttc,2,0.2,0.3,13609,0.2116941562173858,0.2139760452641634
O0,linear,0,ttc,3,0.3,0.4,10,0.3166513055562973,0.0
O0,linear,0,ttc,4,0.4,0.5,0,,
O0,linear,0,ttc,5,0.5,0.6000000000000001,0,,
O0,linear,0,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,0,ttc,7,0.7000000000000001,0.8,0,,
O0,linear,0,ttc,8,0.8,0.9,0,,
O0,linear,0,ttc,9,0.9,1.0,0,,
O0,linear,1,collision,0,0.0,0.1,21823,0.0912667849841003,0.041149246208129
O0,linear,1,collision,1,0.1,0.2,123371,0.1255881859301987,0.0764361154566308
O0,linear,1,collision,2,0.2,0.3,6,0.2113883172472318,0.0
O0,linear,1,collision,3,0.3,0.4,0,,
O0,linear,1,collision,4,0.4,0.5,0,,
O0,linear,1,collision,5,0.5,0.6000000000000001,0,,
O0,linear,1,collision,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,1,collision,7,0.7000000000000001,0.8,0,,
O0,linear,1,collision,8,0.8,0.9,0,,
O0,linear,1,collision,9,0.9,1.0,0,,
O0,linear,1,ttc,0,0.0,0.1,1,0.0971152484416961,0.0
O0,linear,1,ttc,1,0.1,0.2,142104,0.1748249372660343,0.1564558351629792
O0,linear,1,ttc,2,0.2,0.3,3095,0.2077666473937535,0.2697899838449111
O0,linear,1,ttc,3,0.3,0.4,0,,
O0,linear,1,ttc,4,0.4,0.5,0,,
O0,linear,1,ttc,5,0.5,0.6000000000000001,0,,
O0,linear,1,ttc,6,0.6000000000000001,0.7000000000000001,0,,
O0,linear,1,ttc,7,0.7000000000000001,0.8,0,,
