log_name,fold,baseline_selected_official_score_selected16,random_expected_official_score_selected16,oracle_best_official_score_selected16,baseline_top1_regret_selected16,baseline_selected_collision_free,baseline_selected_ttc,baseline_selected_dac,baseline_selected_ddc,baseline_selected_progress,baseline_selected_comfort,scene_count,predicted_model_status
2021.05.12.19.36.12_veh-35_00005_00204,4,1.0,0.8884437004614238,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.05.12.19.36.12_veh-35_00215_00405,3,1.0,0.7866599264191938,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.05.12.19.36.12_veh-35_00416_00557,1,1.0,0.8112434164185437,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.05.12.19.36.12_veh-35_00568_01168,0,0.9519305651827754,0.8062662901153932,0.989531754049296,0.03760118886652053,1.0,1.0,1.0,1.0,0.8846333564386611,1.0,2,NOT_RUN_GATE_C1
2021.05.12.19.36.12_veh-35_01179_01278,2,1.0,0.9281691562156774,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.05.12.19.36.12_veh-35_01400_01643,3,0.9728135335387471,0.7331640242871977,1.0,0.02718646646125289,1.0,1.0,1.0,1.0,0.934752480492993,1.0,2,NOT_RUN_GATE_C1
2021.05.12.19.36.12_veh-35_01744_01934,4,1.0,0.8515625,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.05.12.19.36.12_veh-35_01945_02065,2,0.9910195771452277,0.8009582846689751,1.0,0.008980422854772296,1.0,1.0,1.0,1.0,0.9784469851485464,1.0,2,NOT_RUN_GATE_C1
2021.05.12.19.36.12_veh-35_02079_02176,1,0.9954855243213996,0.7935139658647812,1.0,0.004514475678600416,1.0,1.0,1.0,1.0,0.989165258371359,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.00.38_veh-35_00005_00118,1,1.0,0.914373185178356,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.00.38_veh-35_00129_00204,0,0.9934050079752563,0.952067117457102,1.0,0.006594992024743729,1.0,1.0,1.0,1.0,0.9841720191406149,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.00.38_veh-35_00215_00995,1,0.9799893082925271,0.8851181373994219,1.0,0.020010691707472883,1.0,1.0,1.0,1.0,0.951974339902065,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.00.38_veh-35_01008_01518,4,0.9998502743334601,0.9035211714897234,1.0,0.0001497256665398683,1.0,1.0,1.0,1.0,0.9996406584003044,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.28.35_veh-35_00025_00115,2,0.9834606967812354,0.8800645638215039,1.0,0.016539303218764678,1.0,1.0,1.0,1.0,0.9603056722749648,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.28.35_veh-35_00126_00339,2,0.9960469571991686,0.7891118888333531,0.9980102012014194,0.0019632440022507858,1.0,1.0,1.0,1.0,0.9905126972780047,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.28.35_veh-35_00350_00568,3,0.9951541821667098,0.7097047722792164,1.0,0.004845817833290134,1.0,1.0,1.0,1.0,0.9883700372001039,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.28.35_veh-35_00620_01164,4,0.9716172654141233,0.9187306537554181,1.0,0.0283827345858767,1.0,1.0,1.0,1.0,0.9318814369938959,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.28.35_veh-35_01175_02127,0,1.0,0.9946109810025244,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,NOT_RUN_GATE_C1
2021.05.12.22.28.35_veh-35_02138_02481,4,0.993634007506905,0.7315574670335891,1.0,0.006365992493094941,1.0,1.0,1.0,1.0,0.9847216180165722,1.0,2,NOT_RUN_GATE_C1
2021.05.12.23.36.44_veh-35_00063_00141,2,0.966947329900478,0.9078254915313524,1.0,0.03305267009952201,1.0,1.0,1.0,1.0,0.9206735917611473,1.0,2,NOT_RUN_GATE_C1
2021.05.12.23.36.44_veh-35_00152_00504,2,0.952408503505251,0.777273338984014,0.9659046952253443,0.01349619172009342,1.0,1.0,1.0,1.0,0.8857804084126022,1.0,2,NOT_RUN_GATE_C1
2021.05.12.23.36.44_veh-35_00515_00701,3,0.9965437027906441,0.728892397274188,1.0,0.003456297209355863,1.0,1.0,1.0,0.75,0.991704886697546,1.0,2,NOT_RUN_GATE_C1
