group,model,fold,input_dim,parameter_count,pairwise_accuracy,pairwise_accuracy_gt_0p02,pairwise_accuracy_gt_0p05,pairwise_accuracy_gt_0p10,spearman,ndcg,top1_accuracy,top2_recall,top4_recall,top1_regret,collision_auroc,ttc_auroc,dac_auroc,ddc_auroc,comfort_auroc,progress_spearman
O0,linear,0,24,175,0.5973224376249674,0.5861015429434786,0.5635753939365893,0.5197995685155543,0.2024553555061916,0.8634920230379901,0.1382767739092111,0.2325914499779638,0.4016086381665932,0.3341426306152564,0.590800725917288,0.5445739801127287,0.6014959740797671,0.828226322354363,0.6552025609435267,0.167690013170668
O0,linear,1,24,175,0.595724509976814,0.585518747655952,0.5634455415576348,0.5208973701753284,0.2045990618881117,0.868854832277216,0.1465564738292011,0.2358126721763085,0.4006611570247934,0.2984411249081951,0.5869232102541704,0.5487721864944757,0.6148839352105654,0.8312294880625255,0.6543355243923246,0.1830105706501024
O0,linear,2,24,175,0.5875735221585595,0.575156724027241,0.5536532902314215,0.5132543191885871,0.178380211769228,0.8525436733125905,0.1379462318201851,0.2227853680035257,0.3830982811811371,0.3662051973054198,0.5911486143010631,0.5547572200641323,0.5987084038688817,0.8425060715229232,0.6447973156923138,0.1581571416063267
O0,linear,3,24,175,0.5901025081163208,0.5755458109797781,0.5518812457971786,0.5088596252157611,0.1846107643376476,0.8603621561601255,0.1408264462809917,0.2309641873278237,0.4012121212121212,0.3404189379353168,0.6107725126914905,0.5660795925104652,0.6160387839727246,0.8412112235988863,0.6439470648728199,0.1772745579730127
O0,linear,4,24,175,0.5971139373384062,0.5867923176720604,0.5661166458001163,0.522925457683383,0.2027670671725578,0.8678805170125105,0.1321212121212121,0.2158677685950413,0.3916253443526171,0.3267759641536996,0.5874430349622538,0.5602470471009074,0.5869880500729112,0.8325084507818118,0.6443841908222696,0.13392069353248
O0,mlp,0,24,119797,0.740233339962535,0.7636174214927193,0.7744545048404408,0.7735034162596767,0.512873778893633,0.954445154251111,0.2702732481269281,0.4096518289995592,0.5590568532393124,0.0676364043096237,0.8341531315529346,0.7979563961955157,0.7854177358794321,0.9223363063465287,0.922536584564037,0.3753132741175759
O0,mlp,1,24,119797,0.7408821541728162,0.7604973951521149,0.7700133213904223,0.7682658232208311,0.5155376510701651,0.9504233515231804,0.2635812672176308,0.3965840220385675,0.5601101928374655,0.0797442290572752,0.8357367990479334,0.8046944623716714,0.7925820420490232,0.9315639087991084,0.9217508237890476,0.3963693479679079
O0,mlp,2,24,119797,0.7440008652112577,0.7647298556124825,0.7707575499929001,0.7639964529708371,0.5222654209528417,0.948214603224127,0.2661965623622741,0.4079991185544293,0.5699647421771705,0.0834256215386319,0.8424091795763311,0.8145947139104386,0.7896079699809029,0.925816372510015,0.926340600377315,0.3894248214408171
O0,mlp,3,24,119797,0.7393627822198227,0.764641278471265,0.7753580713949232,0.7737523021398545,0.5098022301603824,0.9537181807761672,0.2606060606060606,0.3955922865013774,0.5522865013774104,0.0707411541853397,0.837974531183732,0.810247770211082,0.7907080140077619,0.918458066784036,0.9313636906180384,0.3984278883392528
O0,mlp,4,24,119797,0.7420619743238807,0.7642786077571455,0.7735426408848844,0.7693127110876226,0.5209681414823404,0.9554068419452052,0.2596143250688705,0.3968044077134986,0.5613223140495868,0.0684872487195595,0.8408029841834536,0.8081474199391782,0.7914986366655261,0.9222022252704992,0.9167570101575576,0.3825735053312791
