family,fold,group,pairwise_accuracy
brake_timing,0,O3,0.7954075722819051
brake_timing,0,O8,0.8497899111948942
brake_timing,1,O3,0.7942384798782323
brake_timing,1,O8,0.8489037756096247
brake_timing,2,O3,0.7906444108147178
brake_timing,2,O8,0.8485578117588598
brake_timing,3,O3,0.7889170550876332
brake_timing,3,O8,0.8457855189394972
brake_timing,4,O3,0.8005584381716321
brake_timing,4,O8,0.8493880560776238
brake_timing,mean,gain,0.0545318234692758
different_prefix_similar_endpoint,0,O3,0.7832395338619579
different_prefix_similar_endpoint,0,O8,0.8235244889846643
different_prefix_similar_endpoint,1,O3,0.7816455530750208
different_prefix_similar_endpoint,1,O8,0.8202146737283483
different_prefix_similar_endpoint,2,O3,0.772309687269609
different_prefix_similar_endpoint,2,O8,0.8231643233237996
different_prefix_similar_endpoint,3,O3,0.7786619371985226
different_prefix_similar_endpoint,3,O8,0.8228699082357619
different_prefix_similar_endpoint,4,O3,0.7800029890898221
different_prefix_similar_endpoint,4,O8,0.812852055514613
different_prefix_similar_endpoint,mean,gain,0.0413531498584509
lateral_offset,0,O3,0.7988204283112289
lateral_offset,0,O8,0.8526063330329096
lateral_offset,1,O3,0.7981312276743748
lateral_offset,1,O8,0.846858432036097
lateral_offset,2,O3,0.7941378012048192
lateral_offset,2,O8,0.8535881024096386
lateral_offset,3,O3,0.7911917059149204
lateral_offset,3,O8,0.8469128499161945
lateral_offset,4,O3,0.7994964130604826
lateral_offset,4,O8,0.8421336889233222
lateral_offset,mean,gain,0.0520643660304671
progress_shape,0,O3,0.8242652257347742
progress_shape,0,O8,0.842985557014443
progress_shape,1,O3,0.8240721785890823
progress_shape,1,O8,0.8374134341250543
progress_shape,2,O3,0.8219788071206464
progress_shape,2,O8,0.8369225041007115
progress_shape,3,O3,0.8229671853959318
progress_shape,3,O8,0.8386505614223374
progress_shape,4,O3,0.8249292294765482
progress_shape,4,O8,0.8350621680287283
progress_shape,mean,gain,0.0145643196748582
same_endpoint_mid_curve,0,O3,0.7619751673264336
same_endpoint_mid_curve,0,O8,0.8122181417359554
same_endpoint_mid_curve,1,O3,0.7551099966284558
same_endpoint_mid_curve,1,O8,0.8058886126095752
same_endpoint_mid_curve,2,O3,0.751009876699871
same_endpoint_mid_curve,2,O8,0.8084036545904447
same_endpoint_mid_curve,3,O3,0.7464649733911318
same_endpoint_mid_curve,3,O8,0.7983615516445501
same_endpoint_mid_curve,4,O3,0.7568827940592818
same_endpoint_mid_curve,4,O8,0.8029056044116726
same_endpoint_mid_curve,mean,gain,0.0512669513774048
same_prefix_different_tail,0,O3,0.773924141802506
same_prefix_different_tail,0,O8,0.8356952961986167
same_prefix_different_tail,1,O3,0.7729683517249022
same_prefix_different_tail,1,O8,0.8326974125147106
same_prefix_different_tail,2,O3,0.7678080413671066
same_prefix_different_tail,2,O8,0.8394852423059195
same_prefix_different_tail,3,O3,0.7680740035427228
same_prefix_different_tail,3,O8,0.8337207632280269
same_prefix_different_tail,4,O3,0.7771095021491466
same_prefix_different_tail,4,O8,0.8281673830488671
same_prefix_different_tail,mean,gain,0.0619764113419513
speed_change,0,O3,0.7693639567613596
speed_change,0,O8,0.8400927218109138
speed_change,1,O3,0.7661029955361739
speed_change,1,O8,0.8345249347270702
speed_change,2,O3,0.7634926091440357
speed_change,2,O8,0.8352773866649086
speed_change,3,O3,0.7629108758257711
speed_change,3,O8,0.8324387971759454
speed_change,4,O3,0.7713455573074818
speed_change,4,O8,0.8342558238549966
speed_change,mean,gain,0.0686747339318025
