scene_token,candidate_index,factor,precomputed,recomputed,absolute_error,trajectory_hash
0fcede1cbfb15faa,3,NC,1.0,1.0,0.0,91df81c9c656e91d87030b4080f85664be4e0e3e193b025194693bd95f4b1959
0fcede1cbfb15faa,3,DAC,1.0,1.0,0.0,91df81c9c656e91d87030b4080f85664be4e0e3e193b025194693bd95f4b1959
0fcede1cbfb15faa,3,EP,1.0,1.0,0.0,91df81c9c656e91d87030b4080f85664be4e0e3e193b025194693bd95f4b1959
0fcede1cbfb15faa,3,TTC,0.0,0.0,0.0,91df81c9c656e91d87030b4080f85664be4e0e3e193b025194693bd95f4b1959
0fcede1cbfb15faa,3,Comfort,1.0,1.0,0.0,91df81c9c656e91d87030b4080f85664be4e0e3e193b025194693bd95f4b1959
0fcede1cbfb15faa,3,score,0.5833333134651184,0.5833333134651184,0.0,91df81c9c656e91d87030b4080f85664be4e0e3e193b025194693bd95f4b1959
0fcede1cbfb15faa,20,NC,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
0fcede1cbfb15faa,20,DAC,1.0,1.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
0fcede1cbfb15faa,20,EP,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
0fcede1cbfb15faa,20,TTC,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
0fcede1cbfb15faa,20,Comfort,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
0fcede1cbfb15faa,20,score,0.0,0.0,0.0,43c7227efed55074152235cf0affbe5a9deab5d45f6deec5f9fd0e3f620dcb64
0fcede1cbfb15faa,30,NC,0.0,0.0,0.0,e72f7f2f5fb4093104d310d07bf6e067f4c229187083aa9dc42a8365b1d0ae38
0fcede1cbfb15faa,30,DAC,1.0,1.0,0.0,e72f7f2f5fb4093104d310d07bf6e067f4c229187083aa9dc42a8365b1d0ae38
0fcede1cbfb15faa,30,EP,0.0,0.0,0.0,e72f7f2f5fb4093104d310d07bf6e067f4c229187083aa9dc42a8365b1d0ae38
