model_type,intervention,seeds,selected_score,selected_score_std,top1_regret,top1_regret_std,mean_selected_candidate_rank,mean_selected_candidate_rank_std,pairwise_ranking_accuracy,pairwise_ranking_accuracy_std,kendall_tau,kendall_tau_std,oracle_capture_mean,oracle_capture_mean_std,oracle_capture_median,oracle_capture_median_std,oracle_capture_q25,oracle_capture_q25_std,oracle_capture_q75,oracle_capture_q75_std,oracle_capture_fraction_gt_0,oracle_capture_fraction_gt_0_std,oracle_capture_fraction_ge_0_5,oracle_capture_fraction_ge_0_5_std,hard_false_safe_rate,hard_false_safe_rate_std,direction_non_compliance_rate,direction_non_compliance_rate_std,ddc_half_rate,ddc_half_rate_std,ddc_zero_rate,ddc_zero_rate_std,zero_score_selection_rate,zero_score_selection_rate_std,wote_failure_recovery_rate,wote_failure_recovery_rate_std
trajectory_only,none,3,0.5113946398099264,0.06848924023093202,0.3755201001962026,0.06848923330132108,36.270182291666664,5.393636248820643,0.7644616203939615,0.0015118216711862303,0.39209596132072316,0.0029314608829862526,-2.053727558194037,0.27696409906053976,-0.04640682848791281,0.03657542050182172,-0.6685829361279806,0.031112255980818928,0.4086538947497805,0.28937278827369217,0.3699268130405855,0.11771747467516418,0.2954091816367266,0.14273899543937027,0.15885416666666666,0.023509726673525765,0.3587239583333333,0.18830078924086494,0.3509114583333333,0.17725319289138622,0.0078125,0.011048543456039806,0.12109375,0.015378921628929319,0.6989247311827956,0.12992522552252228
direct_current,none,3,0.6149000326792399,0.057209230302427236,0.27201469739278156,0.057209232821305675,17.194010416666668,2.1252096234816813,0.8697579296292917,0.0015961537879331624,0.5399012128374095,0.0020901397925235207,-1.0996731908967332,0.20591066959586535,0.3812082664420207,0.25232644989058306,-0.025844461284577847,0.01425635943555006,0.7357390920321146,0.1634174809067289,0.6660013306719894,0.049171886139459435,0.4504324683965402,0.14085965976148532,0.12760416666666666,0.020192789608425552,0.3125,0.18727607070887686,0.3072916666666667,0.182484551970569,0.005208333333333333,0.0048719497223619025,0.059895833333333336,0.015156831675550542,0.8387096774193549,0.06968538385384795
ego_kinematic_effect,none,3,0.6092234253883362,0.058462551843985265,0.2776912748813629,0.05846257309148946,18.173177083333332,3.0267906640822297,0.8704352756966124,0.003617005942285588,0.5408906812149312,0.0047670859605768645,-0.9765132726595546,0.06726856376710791,0.3800285005321105,0.2528332739340651,-0.020542959527422983,0.024760118361086523,0.725248803695043,0.17777973108905773,0.6713240186294079,0.07237803727729827,0.447771124417831,0.14305806949668406,0.12890625,0.013810679320049757,0.3287760416666667,0.17633256521941043,0.3216145833333333,0.16757716386347007,0.007161458333333333,0.008783032267729194,0.059895833333333336,0.006037512041338349,0.8279569892473119,0.06628402153730081
static_primitive_effect,none,3,0.6218883991241455,0.05778889543205863,0.26502634584903717,0.057788885031566,16.29296875,2.2118488855141667,0.870577613311942,0.0022167835285604974,0.5412433569362038,0.0028674718929106472,-1.151771790689063,0.3190604820915895,0.3931904025375843,0.2612315417159998,-0.015017169217268625,0.02123748437551305,0.7508472402890524,0.16857269008846215,0.6786427145708583,0.06212257538383211,0.45841650033266795,0.14498524724373824,0.12434895833333333,0.0200664518325813,0.3059895833333333,0.1844804422774927,0.30078125,0.1798855339890945,0.005208333333333333,0.004603559773349919,0.059895833333333336,0.01597375539893919,0.7741935483870966,0.02633859938476533
shared_logged_future,none,3,0.6151115695635477,0.06315873325007129,0.27180315057436627,0.06315873924311274,16.934895833333332,2.9752765145899294,0.8704188835064156,0.0005966218118422379,0.5405240491565008,0.0005556194305138438,-1.2825812158813799,0.3191910961028855,0.39137425522009534,0.2545642836120521,-0.021595843815399956,0.02246205976108361,0.7459622323513031,0.1850193230077566,0.6686626746506986,0.05222781611920259,0.44710578842315374,0.14397108412358203,0.154296875,0.011163039192371254,0.2962239583333333,0.19009524807846695,0.2884114583333333,0.1844804422774927,0.0078125,0.005749844314015525,0.06770833333333333,0.016750885846703915,0.7419354838709676,0.02633859938476533
dynamic_replay_effect,none,3,0.6350141366322836,0.030765272653103224,0.251900593439738,0.030765290219898177,15.977864583333334,1.147347853839673,0.8730041766707238,0.0011961527957780515,0.5445194800967771,0.0017319658570230444,-0.9425538238666206,0.5846824824730582,0.40019592518607777,0.24049675919405678,-0.014235048865278562,0.010257362823170121,0.7971807718276978,0.08058466874520495,0.6819693945442449,0.04091681134137539,0.48702594810379246,0.09473506130455502,0.11458333333333333,0.02749832302336312,0.2903645833333333,0.13040024919128532,0.28515625,0.12580106275116645,0.005208333333333333,0.004603559773349919,0.048177083333333336,0.012075024082676697,0.8387096774193549,0.09123958466923192
full_primitive_action_effect,none,3,0.6257142225901285,0.07025885283936086,0.26120051741600037,0.07025884702229815,15.668619791666666,3.4758156725540674,0.8774752392629299,0.0017000039083335627,0.550439282308425,0.002290389515609948,-0.9033695777127294,0.09394128818362621,0.41624338490267593,0.2741660216392307,-0.012822555688520273,0.023436247055529543,0.7553519209225973,0.18409524947268152,0.6879574184963406,0.064417444803511,0.4664005322687957,0.15461297674479665,0.13346354166666666,0.006444983682689886,0.3151041666666667,0.19427676767075683,0.3098958333333333,0.18828728306954723,0.005208333333333333,0.0060375120413383495,0.05078125,0.004219232225525951,0.7741935483870966,0.04561979233461598
full_primitive_no_interaction_mask,none,3,0.6403379638989767,0.030544374154659333,0.24657674133777618,0.030544371475437322,15.809895833333334,1.3717486540346668,0.8726523008775384,0.0018824722936580116,0.5442790025011365,0.002569549746871327,-0.6864443255927434,0.3105296570603361,0.3999626512328784,0.2326499822434877,-0.00709176870683829,0.010029275486423815,0.8242007891337076,0.06013928680938024,0.6946107784431138,0.03328010379347914,0.48902195608782434,0.08674409729113326,0.10026041666666667,0.021055939620828423,0.2884114583333333,0.12087654130494975,0.283203125,0.12059920857150314,0.005208333333333333,0.0024359748611809512,0.043619791666666664,0.011754863336762882,0.8064516129032256,0.07901579815429605
interaction_mask_only,none,3,0.612653394540151,0.05703869382673216,0.27426132559776306,0.05703872192245067,17.10546875,2.4829348182516187,0.8716942849111002,0.002401519430160307,0.5425813329525909,0.0031178141706757977,-0.9658636185018707,0.10247599731532132,0.380047220736742,0.25212583224222246,-0.01814771583303809,0.02139365896163094,0.7353757818539938,0.15833803239010855,0.6753160345974717,0.059151326070240505,0.4524284763805722,0.14068985455125604,0.12434895833333333,0.01705182402826666,0.3216145833333333,0.1772388448596135,0.3157552083333333,0.1703391766824274,0.005859375,0.006951222820332885,0.057291666666666664,0.009612515013172786,0.8387096774193549,0.05267719876953072
full_engineered_action_effect,none,3,0.6261196335156759,0.06561045587727414,0.2607950617869695,0.06561045582053206,15.932291666666666,3.0315580266158766,0.8750700005859651,0.0036147327622698296,0.5473715589801121,0.0047789021006918115,-0.8365170944363379,0.07668936934830886,0.3976517394185066,0.25977428061105085,-0.00588037446141243,0.02620899378001914,0.7773971954981486,0.13580929682076973,0.6919494344644046,0.07215752141762789,0.4717232202262142,0.1383386977337807,0.11197916666666667,0.0060375120413383495,0.3294270833333333,0.1805088602311859,0.32421875,0.17448159590970597,0.005208333333333333,0.0060375120413383495,0.041666666666666664,0.007190990245564623,0.8279569892473116,0.054828166812825645
