model_type,trainable_parameters,architecture_class,checkpoint_schema
trajectory_only,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
direct_current,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
ego_kinematic_effect,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
static_primitive_effect,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
shared_logged_future,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
dynamic_replay_effect,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
full_primitive_action_effect,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
full_primitive_no_interaction_mask,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
interaction_mask_only,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
full_engineered_action_effect,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
wote_full_future,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
wote_environment_only,1597576,MatchedHybridOracleEffectProbe,matched_hybrid_oracle_effect_probe.v3
