model_type,seed,factor,mae,brier,auc,strict_compliance_auc,violation_auc
trajectory_only,0,NC,0.3172515332698822,0.15235033631324768,0.8044970115809787,,
trajectory_only,0,DAC,0.29836708307266235,0.15186932682991028,0.8593196979470522,,
trajectory_only,0,DDC,0.19554375112056732,0.05697858706116676,,0.7968789868763204,0.7968789868763205
trajectory_only,0,EP,0.1302105039358139,0.03896079212427139,,,
trajectory_only,0,TTC,0.3699284493923187,0.18421731889247894,0.7948453763817996,,
trajectory_only,0,Comfort,0.01924285665154457,0.008133584633469582,0.999487388140312,,
trajectory_only,1,NC,0.3266631066799164,0.15344630181789398,0.8014908134710936,,
trajectory_only,1,DAC,0.31434008479118347,0.1551722288131714,0.8539399140863353,,
trajectory_only,1,DDC,0.19647493958473206,0.05767020955681801,,0.7935402290923556,0.7935402290923554
trajectory_only,1,EP,0.13295109570026398,0.040169402956962585,,,
trajectory_only,1,TTC,0.3790397644042969,0.185363307595253,0.7932421684555135,,
trajectory_only,1,Comfort,0.022271472960710526,0.009496076963841915,0.9994297478987308,,
trajectory_only,2,NC,0.3189091384410858,0.15787547826766968,0.7962593685007189,,
trajectory_only,2,DAC,0.294863760471344,0.15599864721298218,0.8531767798738215,,
trajectory_only,2,DDC,0.20185312628746033,0.05907069891691208,,0.7843623928902888,0.7843623928902888
trajectory_only,2,EP,0.1354215294122696,0.04110728204250336,,,
trajectory_only,2,TTC,0.36603105068206787,0.18978208303451538,0.7844630975430541,,
trajectory_only,2,Comfort,0.020095760002732277,0.009900265373289585,0.9992840099449758,,
direct_current,0,NC,0.1158631294965744,0.06272105127573013,0.9577303058751169,,
direct_current,0,DAC,0.06607670336961746,0.04095014929771423,0.99004354384082,,
direct_current,0,DDC,0.1580359935760498,0.04412795975804329,,0.8985358420582171,0.8985358420582172
direct_current,0,EP,0.08509936928749084,0.02640201896429062,,,
direct_current,0,TTC,0.13646724820137024,0.08399558067321777,0.9569318215302829,,
direct_current,0,Comfort,0.011103949509561062,0.004603825509548187,0.9998350292471216,,
direct_current,1,NC,0.12940368056297302,0.07076900452375412,0.9516342325301616,,
direct_current,1,DAC,0.07386232167482376,0.047754865139722824,0.985816989573659,,
direct_current,1,DDC,0.1563778817653656,0.04278755187988281,,0.8939341870033445,0.8939341870033446
direct_current,1,EP,0.08088752627372742,0.02583831362426281,,,
direct_current,1,TTC,0.14441941678524017,0.0914522111415863,0.9545090681413393,,
direct_current,1,Comfort,0.011097870767116547,0.0056550875306129456,0.9997564950656109,,
direct_current,2,NC,0.13003988564014435,0.06918726116418839,0.9551290498532684,,
direct_current,2,DAC,0.06642699986696243,0.04013988748192787,0.989772636245777,,
direct_current,2,DDC,0.15973906219005585,0.04494910687208176,,0.8933834045170521,0.8933834045170521
direct_current,2,EP,0.0788237676024437,0.02433917485177517,,,
direct_current,2,TTC,0.14680726826190948,0.08876805007457733,0.9554857862065443,,
direct_current,2,Comfort,0.012494255788624287,0.005513978190720081,0.9997921602738062,,
ego_kinematic_effect,0,NC,0.11597850173711777,0.06273702532052994,0.9576464385088945,,
ego_kinematic_effect,0,DAC,0.06616818904876709,0.04098336026072502,0.990013994845384,,
ego_kinematic_effect,0,DDC,0.15778745710849762,0.04401363432407379,,0.8993036405272996,0.8993036405272995
ego_kinematic_effect,0,EP,0.08552031964063644,0.026569778099656105,,,
ego_kinematic_effect,0,TTC,0.13649284839630127,0.08393705636262894,0.9569773414770955,,
ego_kinematic_effect,0,Comfort,0.011023076251149178,0.004554323852062225,0.9998364021769012,,
ego_kinematic_effect,1,NC,0.12217289209365845,0.0661037340760231,0.9561932075254758,,
ego_kinematic_effect,1,DAC,0.06451036036014557,0.040949657559394836,0.9900718686035062,,
ego_kinematic_effect,1,DDC,0.15636399388313293,0.04300837218761444,,0.8975569003299632,0.897556900329963
ego_kinematic_effect,1,EP,0.08174822479486465,0.025420207530260086,,,
ego_kinematic_effect,1,TTC,0.1381009817123413,0.08460623025894165,0.9567966717900556,,
ego_kinematic_effect,1,Comfort,0.010708730667829514,0.004636179655790329,0.9998283582494489,,
ego_kinematic_effect,2,NC,0.13058778643608093,0.06387530267238617,0.9558830482630508,,
ego_kinematic_effect,2,DAC,0.0690804272890091,0.04056556150317192,0.9897260608086961,,
ego_kinematic_effect,2,DDC,0.16893690824508667,0.04932905733585358,,0.8771336016555894,0.8771336016555895
ego_kinematic_effect,2,EP,0.08435646444559097,0.024801120162010193,,,
ego_kinematic_effect,2,TTC,0.14930285513401031,0.0813763439655304,0.9573904031403799,,
ego_kinematic_effect,2,Comfort,0.01534963771700859,0.006757505238056183,0.9996733001130208,,
static_primitive_effect,0,NC,0.11581265926361084,0.0635661855340004,0.957591445720661,,
static_primitive_effect,0,DAC,0.06312333047389984,0.04054359346628189,0.9894126969390336,,
static_primitive_effect,0,DDC,0.15774624049663544,0.044524211436510086,,0.9008655771788687,0.9008655771788686
static_primitive_effect,0,EP,0.08137152343988419,0.02532156929373741,,,
static_primitive_effect,0,TTC,0.1360018253326416,0.08316101133823395,0.9572654935607098,,
static_primitive_effect,0,Comfort,0.012683085165917873,0.0074256849475204945,0.9996886059613822,,
static_primitive_effect,1,NC,0.12097124010324478,0.06523339450359344,0.9568858368509416,,
static_primitive_effect,1,DAC,0.0694194883108139,0.043684378266334534,0.9887509398590048,,
static_primitive_effect,1,DDC,0.16006553173065186,0.044402677565813065,,0.8944046293207422,0.894404629320742
static_primitive_effect,1,EP,0.07862068712711334,0.023489177227020264,,,
static_primitive_effect,1,TTC,0.13338088989257812,0.08213689923286438,0.9584445848479106,,
static_primitive_effect,1,Comfort,0.01846309006214142,0.012235008180141449,0.9993325404221017,,
static_primitive_effect,2,NC,0.13038238883018494,0.0694878101348877,0.9550085307582044,,
static_primitive_effect,2,DAC,0.06650005280971527,0.040117062628269196,0.9897562466394649,,
static_primitive_effect,2,DDC,0.15978150069713593,0.04493611678481102,,0.8935524651806563,0.8935524651806565
static_primitive_effect,2,EP,0.07869745045900345,0.02432124875485897,,,
static_primitive_effect,2,TTC,0.14703136682510376,0.08894005417823792,0.9554945393205374,,
static_primitive_effect,2,Comfort,0.012425299733877182,0.005454398691654205,0.9997937475492075,,
shared_logged_future,0,NC,0.12010213732719421,0.06706942617893219,0.9556670583140869,,
shared_logged_future,0,DAC,0.06357403099536896,0.03890146315097809,0.9902361409571148,,
shared_logged_future,0,DDC,0.15650248527526855,0.04318315535783768,,0.9008960682957393,0.9008960682957394
shared_logged_future,0,EP,0.0780709832906723,0.024405471980571747,,,
shared_logged_future,0,TTC,0.14071378111839294,0.08826392143964767,0.9547566274096098,,
shared_logged_future,0,Comfort,0.011012629605829716,0.005447206553071737,0.9998367234687529,,
shared_logged_future,1,NC,0.12581628561019897,0.06882284581661224,0.952113106175204,,
shared_logged_future,1,DAC,0.0733894631266594,0.04725198075175285,0.986226496834361,,
shared_logged_future,1,DDC,0.15638074278831482,0.04261142387986183,,0.894192053833389,0.894192053833389
shared_logged_future,1,EP,0.07724539935588837,0.024177271872758865,,,
shared_logged_future,1,TTC,0.14036713540554047,0.08918585628271103,0.9542528366693316,,
shared_logged_future,1,Comfort,0.01148173026740551,0.006016286090016365,0.9997434450576419,,
shared_logged_future,2,NC,0.12407885491847992,0.06368411332368851,0.9579848865527856,,
shared_logged_future,2,DAC,0.07295486330986023,0.047738488763570786,0.9859799108194872,,
shared_logged_future,2,DDC,0.1647472232580185,0.04642125591635704,,0.8856717870561643,0.8856717870561642
shared_logged_future,2,EP,0.08246331661939621,0.0246526300907135,,,
shared_logged_future,2,TTC,0.14198705554008484,0.08404114842414856,0.9555665810430267,,
shared_logged_future,2,Comfort,0.0169375017285347,0.010273488238453865,0.9992983700442616,,
dynamic_replay_effect,0,NC,0.115910604596138,0.06271647661924362,0.9576394258474245,,
dynamic_replay_effect,0,DAC,0.06604153662919998,0.04098644107580185,0.9900291270650833,,
dynamic_replay_effect,0,DDC,0.15695108473300934,0.04354214668273926,,0.8996042824103775,0.8996042824103776
dynamic_replay_effect,0,EP,0.08466842770576477,0.026292894035577774,,,
dynamic_replay_effect,0,TTC,0.13650988042354584,0.08400219678878784,0.9569835547785135,,
dynamic_replay_effect,0,Comfort,0.011258013546466827,0.004701496101915836,0.9998358577782959,,
dynamic_replay_effect,1,NC,0.11530885845422745,0.0649656280875206,0.9571791826955822,,
dynamic_replay_effect,1,DAC,0.0645802840590477,0.041395336389541626,0.9893728390837819,,
dynamic_replay_effect,1,DDC,0.1544417440891266,0.042672477662563324,,0.9047938019109205,0.9047938019109206
dynamic_replay_effect,1,EP,0.07666622847318649,0.023996394127607346,,,
dynamic_replay_effect,1,TTC,0.1346212923526764,0.08393918722867966,0.9580872298958903,,
dynamic_replay_effect,1,Comfort,0.019615665078163147,0.014287594705820084,0.9993827761478005,,
dynamic_replay_effect,2,NC,0.10429872572422028,0.05606371536850929,0.9647686258163094,,
dynamic_replay_effect,2,DAC,0.0651593953371048,0.03941236063838005,0.9904293785404374,,
dynamic_replay_effect,2,DDC,0.15929098427295685,0.04338744282722473,,0.8949480423007177,0.8949480423007177
dynamic_replay_effect,2,EP,0.07689794152975082,0.023469338193535805,,,
dynamic_replay_effect,2,TTC,0.12375905364751816,0.07453525066375732,0.966543083455585,,
dynamic_replay_effect,2,Comfort,0.010478159412741661,0.004870743490755558,0.9998177495761804,,
full_primitive_action_effect,0,NC,0.09929686784744263,0.054299499839544296,0.9646370992411117,,
full_primitive_action_effect,0,DAC,0.06374116986989975,0.04196469858288765,0.98944497298614,,
full_primitive_action_effect,0,DDC,0.15354926884174347,0.042083632200956345,,0.9054503190837588,0.905450319083759
full_primitive_action_effect,0,EP,0.08033417165279388,0.02528381161391735,,,
full_primitive_action_effect,0,TTC,0.12306446582078934,0.07755067944526672,0.9634020882084137,,
full_primitive_action_effect,0,Comfort,0.00986456498503685,0.004974162671715021,0.9998159962924366,,
full_primitive_action_effect,1,NC,0.1010294258594513,0.057013411074876785,0.9640803437112756,,
full_primitive_action_effect,1,DAC,0.06163462996482849,0.039684735238552094,0.9903184257991209,,
full_primitive_action_effect,1,DDC,0.14632809162139893,0.03963617607951164,,0.9149062937046113,0.9149062937046114
full_primitive_action_effect,1,EP,0.07410117238759995,0.02319781854748726,,,
full_primitive_action_effect,1,TTC,0.12061263620853424,0.07578113675117493,0.9648200951235673,,
full_primitive_action_effect,1,Comfort,0.01140636671334505,0.00669655529782176,0.9996661797297065,,
full_primitive_action_effect,2,NC,0.1026681587100029,0.05320156365633011,0.9675875247568501,,
full_primitive_action_effect,2,DAC,0.0661565512418747,0.04070545732975006,0.9897189097664669,,
full_primitive_action_effect,2,DDC,0.16461321711540222,0.04694141447544098,,0.8911092992186097,0.8911092992186096
full_primitive_action_effect,2,EP,0.08031012117862701,0.023883290588855743,,,
full_primitive_action_effect,2,TTC,0.12855803966522217,0.07502525299787521,0.9645361576015594,,
full_primitive_action_effect,2,Comfort,0.012543602846562862,0.006309743504971266,0.9996885103442021,,
full_primitive_no_interaction_mask,0,NC,0.1017899438738823,0.055779941380023956,0.9629310247906726,,
full_primitive_no_interaction_mask,0,DAC,0.06362814456224442,0.039520263671875,0.9902791812317591,,
full_primitive_no_interaction_mask,0,DDC,0.15262556076049805,0.041909314692020416,,0.9025254232530986,0.9025254232530986
full_primitive_no_interaction_mask,0,EP,0.07694558054208755,0.023698655888438225,,,
full_primitive_no_interaction_mask,0,TTC,0.1289694756269455,0.07738402485847473,0.9630947382429021,,
full_primitive_no_interaction_mask,0,Comfort,0.009344903752207756,0.0044159055687487125,0.999839710863653,,
full_primitive_no_interaction_mask,1,NC,0.1205839067697525,0.06497147679328918,0.9570984871883926,,
full_primitive_no_interaction_mask,1,DAC,0.06931253522634506,0.04369775578379631,0.9888102206061534,,
full_primitive_no_interaction_mask,1,DDC,0.16090019047260284,0.044643934816122055,,0.8944475794595276,0.8944475794595277
full_primitive_no_interaction_mask,1,EP,0.07960513979196548,0.023766692727804184,,,
full_primitive_no_interaction_mask,1,TTC,0.13287493586540222,0.08181966841220856,0.9587476786308343,,
full_primitive_no_interaction_mask,1,Comfort,0.018505167216062546,0.012252120301127434,0.9993164767358368,,
full_primitive_no_interaction_mask,2,NC,0.10273915529251099,0.058044590055942535,0.9649792311537793,,
full_primitive_no_interaction_mask,2,DAC,0.06526072323322296,0.040856920182704926,0.9909351776230779,,
full_primitive_no_interaction_mask,2,DDC,0.15690425038337708,0.042584702372550964,,0.8948883115959695,0.8948883115959694
full_primitive_no_interaction_mask,2,EP,0.07434604316949844,0.023581810295581818,,,
full_primitive_no_interaction_mask,2,TTC,0.1258055865764618,0.0768958181142807,0.96790789164424,,
full_primitive_no_interaction_mask,2,Comfort,0.012565513141453266,0.007017309777438641,0.999736309871036,,
interaction_mask_only,0,NC,0.11611685901880264,0.06280151754617691,0.9576404025801623,,
interaction_mask_only,0,DAC,0.06604783982038498,0.04089473932981491,0.9900549300254556,,
interaction_mask_only,0,DDC,0.1575835794210434,0.043845999985933304,,0.8995015184345249,0.899501518434525
interaction_mask_only,0,EP,0.08548816293478012,0.026531491428613663,,,
interaction_mask_only,0,TTC,0.13665969669818878,0.08404485136270523,0.9569019605160576,,
interaction_mask_only,0,Comfort,0.011156554333865643,0.004651882220059633,0.9998327626818956,,
