model_type,intervention,direction_non_compliance_rate,ddc_half_rate,ddc_zero_rate
trajectory_only,none,0.3587239583333333,0.3509114583333333,0.0078125
direct_current,none,0.3125,0.3072916666666667,0.005208333333333333
ego_kinematic_effect,none,0.3287760416666667,0.3216145833333333,0.007161458333333333
static_primitive_effect,none,0.3059895833333333,0.30078125,0.005208333333333333
shared_logged_future,none,0.2962239583333333,0.2884114583333333,0.0078125
dynamic_replay_effect,none,0.2903645833333333,0.28515625,0.005208333333333333
full_primitive_action_effect,none,0.3151041666666667,0.3098958333333333,0.005208333333333333
full_primitive_no_interaction_mask,none,0.2884114583333333,0.283203125,0.005208333333333333
interaction_mask_only,none,0.3216145833333333,0.3157552083333333,0.005859375
full_engineered_action_effect,none,0.3294270833333333,0.32421875,0.005208333333333333
wote_full_future,none,0.2903645833333333,0.2877604166666667,0.0026041666666666665
wote_environment_only,none,0.3372395833333333,0.3313802083333333,0.005859375
wote_base_selector,none,0.64453125,0.6171875,0.02734375
full_primitive_action_effect,full_effect_swap,0.318359375,0.3111979166666667,0.007161458333333333
full_primitive_action_effect,actor_only_swap,0.3190104166666667,0.3131510416666667,0.005859375
full_primitive_action_effect,static_only_swap,0.3111979166666667,0.3046875,0.006510416666666667
full_primitive_action_effect,scene_mean_effect,0.306640625,0.30078125,0.005859375
