model_type,seed,intervention,selected_score,top1_regret,mean_selected_candidate_rank,pairwise_ranking_accuracy,kendall_tau,oracle_capture_mean,oracle_capture_median,oracle_capture_q25,oracle_capture_q75,oracle_capture_fraction_gt_0,oracle_capture_fraction_ge_0_5,hard_false_safe_rate,direction_non_compliance_rate,ddc_half_rate,ddc_zero_rate,zero_score_selection_rate,wote_failure_recovery_rate
trajectory_only,0,none,0.5591698288917542,0.3277449309825897,33.001953125,0.7658831422270979,0.3948089498694577,-1.9367696612419472,-0.025344083085656166,-0.7125651836395264,0.6132713556289673,0.4590818363273453,0.405189620758483,0.1484375,0.22265625,0.22265625,0.0,0.11328125,0.7741935483870968
trajectory_only,1,none,0.5604749321937561,0.3264397978782654,31.935546875,0.7623677962443342,0.38802469924531946,-1.7884715749620053,-0.016024723649024963,-0.6476548910140991,0.6132713556289673,0.4471057884231537,0.3872255489021956,0.13671875,0.228515625,0.228515625,0.0,0.107421875,0.8064516129032258
trajectory_only,2,none,0.4145391583442688,0.4723755717277527,43.873046875,0.7651339227104523,0.3934542348473924,-2.4359414383781584,-0.09785167872905731,-0.6455287337303162,-0.0005810270085930824,0.20359281437125748,0.09381237524950099,0.19140625,0.625,0.6015625,0.0234375,0.142578125,0.5161290322580645
direct_current,0,none,0.6478828191757202,0.23903194069862366,15.79296875,0.8719999510459479,0.5428558908479364,-0.911884490931625,0.5439286828041077,-0.018935389816761017,0.8321312665939331,0.6946107784431138,0.5409181636726547,0.123046875,0.216796875,0.212890625,0.00390625,0.060546875,0.8709677419354839
direct_current,1,none,0.6623886823654175,0.22452601790428162,15.591796875,0.8688639989675145,0.5384975957353844,-1.3863118245926762,0.5748835206031799,-0.01289581973105669,0.8694477081298828,0.7065868263473054,0.5588822355289421,0.154296875,0.146484375,0.146484375,0.0,0.078125,0.9032258064516129
direct_current,2,none,0.534428596496582,0.35248613357543945,20.197265625,0.8684098388744128,0.5383501519289078,-1.0008232571658982,0.024812595918774605,-0.04570217430591583,0.5056383013725281,0.5968063872255489,0.25149700598802394,0.10546875,0.57421875,0.5625,0.01171875,0.041015625,0.7419354838709677
ego_kinematic_effect,0,none,0.6495208740234375,0.2373938262462616,16.36328125,0.8722677519631687,0.5432465149079903,-0.8944228322517281,0.5439286828041077,-0.006256644148379564,0.8236618638038635,0.7045908183632734,0.5449101796407185,0.119140625,0.20703125,0.205078125,0.001953125,0.056640625,0.9032258064516129
ego_kinematic_effect,1,none,0.6515958309173584,0.2353188395500183,15.71875,0.8736549317869786,0.5451831572739689,-0.9759236612657416,0.5732865929603577,0.0,0.8764034509658813,0.7385229540918163,0.5528942115768463,0.1484375,0.201171875,0.201171875,0.0,0.068359375,0.8387096774193549
ego_kinematic_effect,2,none,0.5265535712242126,0.36036115884780884,22.4375,0.8653831433396899,0.5342423714628346,-1.059193324461194,0.022870225831866264,-0.05537223443388939,0.4756810963153839,0.5708582834331337,0.24550898203592814,0.119140625,0.578125,0.55859375,0.01953125,0.0546875,0.7419354838709677
static_primitive_effect,0,none,0.6642966866493225,0.22261805832386017,14.263671875,0.8735575799786828,0.5450500423862137,-1.6016971326793639,0.5768775939941406,0.0,0.8840093016624451,0.720558882235529,0.5548902195608783,0.150390625,0.162109375,0.16015625,0.001953125,0.080078125,0.7419354838709677
