model_type,trainable_parameters,architecture_class,checkpoint_schema
trajectory_only,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
direct_current,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
ego_kinematic_effect,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
static_primitive_effect,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
shared_logged_future,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
dynamic_replay_effect,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
full_primitive_action_effect,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
full_primitive_no_interaction_mask,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
interaction_mask_only,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
full_engineered_action_effect,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
wote_full_future,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
wote_environment_only,1332998,StructuredSixFactorProbe,structured_six_factor_probe.v2
