model_type,intervention,direction_non_compliance_rate,ddc_half_rate,ddc_zero_rate
trajectory_only,none,0.6165364583333334,0.5989583333333334,0.017578125
direct_current,none,0.6276041666666666,0.599609375,0.027994791666666668
ego_kinematic_effect,none,0.6223958333333334,0.5885416666666666,0.033854166666666664
static_primitive_effect,none,0.6197916666666666,0.5885416666666666,0.03125
shared_logged_future,none,0.6126302083333334,0.5807291666666666,0.031901041666666664
dynamic_replay_effect,none,0.619140625,0.5904947916666666,0.028645833333333332
full_primitive_action_effect,none,0.6380208333333334,0.61328125,0.024739583333333332
full_primitive_no_interaction_mask,none,0.6334635416666666,0.6022135416666666,0.03125
interaction_mask_only,none,0.6243489583333334,0.5865885416666666,0.037760416666666664
full_engineered_action_effect,none,0.6158854166666666,0.5729166666666666,0.04296875
wote_full_future,none,0.6158854166666666,0.5944010416666666,0.021484375
wote_environment_only,none,0.6165364583333334,0.5813802083333334,0.03515625
wote_base_selector,none,0.64453125,0.6171875,0.02734375
full_primitive_action_effect,full_effect_swap,0.638671875,0.6061197916666666,0.032552083333333336
full_primitive_action_effect,actor_only_swap,0.6197916666666666,0.587890625,0.031901041666666664
full_primitive_action_effect,static_only_swap,0.634765625,0.6041666666666666,0.030598958333333332
full_primitive_action_effect,scene_mean_effect,0.6419270833333334,0.619140625,0.022786458333333332
