model_type,intervention,oracle_capture_mean,oracle_capture_median,oracle_capture_q25,oracle_capture_q75,oracle_capture_fraction_gt_0,oracle_capture_fraction_ge_0_5
trajectory_only,none,-2.2264506480782154,-0.1110060065984726,-0.7414014140764872,-0.004401145997690037,0.20958083832335328,0.11842980705256152
direct_current,none,-1.6793064141190746,0.0,-0.17144347230593363,0.30306371053059894,0.4703925482368596,0.18562874251497005
ego_kinematic_effect,none,-1.559029306732717,-0.005604926098991807,-0.2996555417776108,0.16807392487923303,0.40452428476380575,0.1596806387225549
static_primitive_effect,none,-2.432062194670768,-0.012356470028559366,-0.30848509073257446,0.1695205271244049,0.4204923486360612,0.1650033266799734
shared_logged_future,none,-2.505655598549877,-0.01964027787713955,-0.5164581835269928,0.15961025903622308,0.38789088489687296,0.1590153027278776
dynamic_replay_effect,none,-1.9775887882042722,-0.021422963589429855,-0.37188931306203205,0.19741755723953247,0.38589487691284097,0.1763140385894877
full_primitive_action_effect,none,-2.0909777096868787,-0.012059852820433056,-0.24027983844280243,0.19457954416672388,0.44510978043912175,0.17298735861610115
full_primitive_no_interaction_mask,none,-1.8403949117223046,-0.016185701514283817,-0.37668876846631366,0.20034736519058546,0.38389886892880903,0.17298735861610115
interaction_mask_only,none,-1.9729488477833976,-0.01621277133623759,-0.2824234788616498,0.21965099250276884,0.435129740518962,0.17431803060545578
full_engineered_action_effect,none,-1.8874303298773738,0.001903724701454242,-0.29138944546381634,0.33898337682088214,0.46373918829008653,0.20159680638722555
wote_full_future,none,-1.1092517039609506,0.0613516258696715,0.0,0.5562373002370199,0.6912840984697272,0.26746506986027946
wote_environment_only,none,-1.8403416179991565,-0.012133173644542694,-0.3113669554392497,0.1984657496213913,0.4171656686626746,0.16766467065868262
wote_base_selector,none,0.0,0.0,0.0,0.0,0.0,0.0
full_primitive_action_effect,full_effect_swap,-2.163918095011049,-0.03570873352388541,-0.5649933616320292,0.06859729811549187,0.37125748502994016,0.14171656686626746
full_primitive_action_effect,actor_only_swap,-1.9857389440246138,-0.01814674710234006,-0.36583123604456586,0.1541863369445006,0.42115768463073855,0.17365269461077845
full_primitive_action_effect,static_only_swap,-1.9968231106196723,-0.01819995085437161,-0.42724669973055523,0.10060643653074901,0.3972055888223553,0.14637391882900863
full_primitive_action_effect,scene_mean_effect,-1.947422594498209,-0.0437677800655365,-0.4720616439978282,0.14474814602484307,0.3479707252162341,0.16101131071190952
