subset,scenes,full_score,static_score,direct_score,full_vs_static_gain,full_vs_static_ci_lower,full_vs_static_ci_upper,full_vs_direct_gain,full_vs_direct_ci_lower,full_vs_direct_ci_upper,definition,label_free
all,512,0.47800195157469716,0.47118179824610706,0.4913913560012588,0.006820153328590095,-0.006547088733896087,0.020398047809248955,-0.013389404426561669,-0.027700709967939472,0.0006833519477368043,fraction(interaction_count>=2)>=0.10,True
interaction_rich,479,0.4864785736096179,0.47917868848695633,0.49904114670569316,0.007299885122661551,-0.007141332712708845,0.021547082594026167,-0.012562573096075237,-0.027585958145239967,0.001928275049953776,fraction(interaction_count>=2)>=0.10,True
non_interaction,33,0.3549624984011506,0.3551057247501431,0.3803534848671971,-0.00014322634899255002,-0.037924933298067606,0.032856619956366906,-0.025390986466046536,-0.06836657941792948,0.014571116712282936,fraction(interaction_count>=2)>=0.10,True
