method,artifact_sha256,tier,validation_pdms_delta,validation_ci95_low,validation_ci95_high,navtest_selected_pdms,navtest_public_base_pdms,navtest_best_of_64_pdms,navtest_pdms_delta,navtest_ci95_low,navtest_ci95_high,navtest_status,navtest_scorer_regret,navtest_regret_reduction_fraction,switch_rate,win_rate,loss_rate,scene_count,log_count,candidate_count,invalid_scene_count,inference_inputs_only,official_pdm_used_only_after_selection,promotion_manifest,campaign_summary,navtest_no_at_fault_collisions_delta,navtest_drivable_area_compliance_delta,navtest_driving_direction_compliance_delta,navtest_time_to_collision_within_bound_delta,navtest_ego_progress_delta,navtest_comfort_delta,navtest_score_delta
full_local_residual_top16_basepairw2_seed1_v1,1ebcd221f0d1940836dc9b3a22eda7f58042d335fe5d477202dd8cec1d94a0bb,diagnostic_safety_regression,0.003598148701712489,0.002776845168139438,0.004356600888916854,0.9088505999139599,0.9095938782172857,0.9841117299620842,-0.000743278303325775,-0.002145384666810126,0.0006637778284761465,TEST_NEGATIVE_INCONCLUSIVE,0.07526113004812432,-0.00997449988052912,0.0927054174213733,0.07475712168615183,0.005104561172402437,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_full_wave2.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_full_wave2_scorers_navtest_fp32_v2/campaign_summary.json,-0.0003704923431583351,-0.0026346122180140874,-0.0016877984521652678,-0.0010703112135681536,0.0027645677696160886,-8.233163181292635e-05,-0.0007432783033257673
residual_partial12k_factor_top8_seed2_v1,4b6dfcb0237fc647d6cc220d063e11841d258dfaf8aa61da52e92fa76fcd29fd,deployable,0.0016004409408196807,0.0012873793936314796,0.001945405559752911,0.9085595730257234,0.9095938782172857,0.9841117299620842,-0.001034305191562181,-0.0020029851486234123,-0.0002146250224267318,TEST_NEGATIVE_SIGNIFICANT,0.07555215693636072,-0.013879965234429692,0.08850650419891322,0.06199571875514573,0.004116581590647127,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0006998188704100405,-0.0009879795817552273,-0.0007821505022228559,-0.0027169438498270138,0.001669097791761609,0.0,-0.0010343051915622237
residual_partial12k_hybrid_top16_basepairw2_topksafetyw200_seed2_v1,ad50c397443097080d64e57f07549b457aea9b729349c04ffdbc97d36e86f3d0,deployable,0.0011625344632193446,0.0009039069074609034,0.0014049778399790889,0.908032645502525,0.9095938782172857,0.9841117299620842,-0.0015612327147605841,-0.0025285432197004513,-0.0006990578654159634,TEST_NEGATIVE_SIGNIFICANT,0.07607908445955913,-0.02095112349866657,0.23513914045776388,0.07558043800428124,0.014325703935452001,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0007821505022229669,-0.0009879795817552273,-0.0007409846863164482,-0.0027169438498270138,0.0006020675572339096,0.0,-0.0015612327147606075
full_local_residual_top16_basepairw2_seed0_v1,093ac1e1ad0527015b7ae8a5fb4ee84fe5efbb9183d823c6d8d574aa25cd4aed,diagnostic_safety_regression,0.0047843740321695805,0.003928448872083574,0.005591922789358596,0.9080235839660529,0.9095938782172857,0.9841117299620842,-0.0015702942512327064,-0.003257849471422054,0.0001188307574484693,TEST_NEGATIVE_INCONCLUSIVE,0.07608814599603125,-0.021072725722294017,0.1780833196113947,0.13642351391404578,0.009962127449366047,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_full_wave2.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_full_wave2_scorers_navtest_fp32_v2/campaign_summary.json,-0.001029145397661857,-0.0027169438498270138,-0.0020994566112300106,-0.0044459081178988,0.004336456159243496,0.0,-0.0015702942512327844
residual_partial12k_hybrid_top8_compositew5_seed2_v1,5414ce7cb88265fd452352dd986656a0997483f9a0c8c1dccd860ab637417f86,deployable,0.003194809425622225,0.0026276223542574945,0.003821300090887746,0.9076164777301866,0.9095938782172857,0.9841117299620842,-0.0019774004870989795,-0.0033599688107789176,-0.0008231595590978829,TEST_NEGATIVE_SIGNIFICANT,0.07649525223189753,-0.026535929858404916,0.11262967232010539,0.08126132059937428,0.006421867281409518,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0005351556067841878,-0.0028816071134529775,-0.00045282397497115046,-0.003457928536143573,0.002322022560674153,0.0,-0.001977400487099046
residual_partial12k_local_top8_seed2_v2,b068b1cc2ce6005341d0482398aed12bb134340414b1367f33e12ce247511fc2,deployable,0.002546760020777583,0.002233575528551525,0.0028812949916277,0.9075810636165074,0.9095938782172857,0.9841117299620842,-0.0020128146007782188,-0.0030007127300188444,-0.0010717053495842362,TEST_NEGATIVE_SIGNIFICANT,0.07653066634557676,-0.027011173210836903,0.38465338383006753,0.17544870739338053,0.010703112135682528,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0015231351885395261,-0.0010703112135681536,-0.0023464515066687897,-0.0054338876996541385,0.002647918022564255,0.0,-0.00201281460077829
residual_partial12k_scene_set_top8_seed2_v1,16fa66d4101cec7556ba77ffb95329c7d3ad9af116a568cf03fab3ce48605cc4,deployable,0.0024647489190101624,0.002111918240727915,0.003227581505659236,0.9075109731352606,0.9095938782172857,0.9841117299620842,-0.0020829050820250303,-0.0033119163446065345,-0.0009912395550655986,TEST_NEGATIVE_SIGNIFICANT,0.07660075682682357,-0.027951759655637565,0.23703276798946155,0.12201547834678084,0.007409846863164828,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0011114770294747833,-0.0016466326362587491,-0.002181788243042937,-0.0042812448542729475,0.0018858684040697904,0.0,-0.0020829050820250217
residual_partial12k_scene_top8_seed2_v1,f0c447f6525038cd9de79eddf492614b41db3d5e80271fc07fdbda97b2c75be6,deployable,0.0027018499094992876,0.0022500695777890886,0.0032967852525676525,0.9072819953925739,0.9095938782172857,0.9841117299620842,-0.0023118828247116795,-0.003609641146605139,-0.001125192567643337,TEST_NEGATIVE_SIGNIFICANT,0.07682973456951023,-0.031024550098803116,0.29063066029968715,0.16235797793512266,0.008891816235797793,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0017701300839783052,-0.0018112958998847128,-0.0022641198748558633,-0.0040342499588341685,0.0015843613240386079,0.0,-0.0023118828247117307
residual_partial12k_hybrid_top8_factor_topk_seed2_v1,8d0efd905b8d98d8f811618ebe1d5965e5f048d6866650318bb9196eaf72b2fc,deployable,0.0036298760678619146,0.0030120394882024596,0.004285399173093767,0.9072313722871427,0.9095938782172857,0.9841117299620842,-0.002362505930142958,-0.0039584589309919595,-0.000979382064158626,TEST_NEGATIVE_SIGNIFICANT,0.0768803576749415,-0.03170389208526636,0.1337889016960316,0.09311707558043801,0.006998188704100116,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_partial.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_partial_residual_scorers_navtest_fp32_v2/campaign_summary.json,-0.0007821505022229669,-0.003210933640704683,-0.002552280586201161,-0.0028816071134529775,0.0017106297939510906,0.0,-0.0023625059301429774
full_local_hybrid_top16_basepairw0_seed2_v1,6352100ced6748aac826e4fec4bd8d61218474b58197a6d7ffbb6eb9601cf1a8,diagnostic_safety_regression,0.00393920112401247,0.0032342325800194228,0.004643491294387531,0.9071966412848467,0.9095938782172857,0.9841117299620842,-0.0023972369324389547,-0.003999049788742453,-0.0009196275527292718,TEST_NEGATIVE_SIGNIFICANT,0.0769150886772375,-0.03216996835400976,0.17610736044788408,0.13271859048246337,0.00971513255392722,12146,136,64,0,True,True,/mnt/project/DriveVLA-M0-scorer-pdms93/reports/stage2_reproduction_diagnosis/effective_scorer_navtest_manifest_full_wave1.json,/mnt/project/DriveVLA-M0-stage2/runs/ke_candidate_audit/effective_full_wave1_scorers_navtest_fp32_v2/campaign_summary.json,-0.0016466326362588601,-0.0026346122180140874,-0.002675778033920606,-0.004857566276963543,0.003125711202022763,0.0,-0.002397236932438984
