control,seed,total_parameters,trainable_parameters,best_validation_loss,factual_prediction_error_point,factual_prediction_error_ci_low,factual_prediction_error_ci_high,action_shuffle_gap_point,action_shuffle_gap_ci_low,action_shuffle_gap_ci_high,candidate_sensitivity_point,candidate_sensitivity_ci_low,candidate_sensitivity_ci_high,action_gap_point,action_gap_ci_low,action_gap_ci_high,equivalence_leakage_point,equivalence_leakage_ci_low,equivalence_leakage_ci_high,effect_alignment_point,effect_alignment_ci_low,effect_alignment_ci_high,risk_false_safe_rate_point,risk_false_safe_rate_ci_low,risk_false_safe_rate_ci_high
constant_mean_control,20260821,0,0,,0.31508246030182285,0.2983866447744229,0.3322323588344907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_mean_control,20260822,0,0,,0.31508246030182285,0.29893701273177925,0.33206349293180654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
constant_mean_control,20260823,0,0,,0.31508246030182285,0.2984544243303324,0.3326108494951621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
random_untrained_probe,20260821,903065,903065,,0.47835861754436015,0.4576312157817318,0.5007435958227865,2.461000431169928e-05,-0.00010168647566669845,0.00015598000958405586,0.02214777979238766,0.019738346842181485,0.02444197383935508,0.025696907167585863,0.02131536271741514,0.030221309243450154,0.016874913421823023,0.01427409838079084,0.01948452597625613,0.1559825958684015,0.08208364154091814,0.23030142600106443,0.0,0.0,0.0
random_untrained_probe,20260822,903065,903065,,0.4848429244936361,0.46013984754176285,0.5101328720989228,2.1311192473574557e-05,-0.00010059476148691612,0.00015567900665238707,0.022909139972803416,0.020747696537775147,0.025110491174384575,0.027003861802446415,0.023060720231492565,0.0311686857904452,0.0169792164826953,0.014374365605608334,0.01952279890217645,0.2094255231533652,0.1418129100949498,0.28617170671685027,0.0,0.0,0.0
random_untrained_probe,20260823,903065,903065,,0.48315259351482137,0.4621547668481714,0.5053436730582493,0.00018493633461606095,-9.295174518453205e-06,0.0003959697866831779,0.02542177738861197,0.02275820115220565,0.028114201458677462,0.03084543874209673,0.02579957332979075,0.036760677613550945,0.018540639789904827,0.015613143889418254,0.021637025220967433,0.1969753254692183,0.12515114801599667,0.27577285301778076,0.0,0.0,0.0
same_parameter_no_action,20260821,903065,903065,0.11188985831012913,0.16347942686554767,0.14383524856994825,0.18564424558864911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
same_parameter_no_action,20260822,903065,903065,0.1139139909954632,0.17124519799944538,0.1526858761454318,0.19272048651021417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
same_parameter_no_action,20260823,903065,903065,0.11229646147466173,0.17098387045846997,0.15098134804788452,0.19211322877463172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
scene_action_probe,20260821,903065,903065,0.11251659881250531,0.15989414667517426,0.14008496591482417,0.18202966549109545,0.00024869209114136936,0.0001491654171670129,0.0003689646971343558,0.009286195385514014,0.008399876297185154,0.010261481561424212,0.011251054236284683,0.0093826185321733,0.013172661434797103,0.006272899181123002,0.0054597556969191545,0.007120873992600985,0.2177033063327962,0.15033696516785974,0.28537137149721503,1.0,1.0,1.0
scene_action_probe,20260822,903065,903065,0.11357452194480334,0.16236665845401801,0.1438900156947563,0.1823950220063933,0.00030453964431337565,0.00019094981278563615,0.0004211027457641529,0.0076664017422052935,0.0068821893206051764,0.008433752976030084,0.009329763874320409,0.008058291033582866,0.010685044248214698,0.005804775380148694,0.004787685444316603,0.006848982864249484,0.21281242771589787,0.14963619701058775,0.285513535537494,1.0,1.0,1.0
scene_action_probe,20260823,903065,903065,0.11707402780359867,0.17582775472178316,0.15603665862336402,0.19631089002823554,0.0004422148058699834,0.0002638259880022218,0.0006372739532773144,0.010498571492779763,0.008864899038709462,0.012214964395614286,0.013493244542869237,0.010568544786492861,0.016921025937727385,0.006456988242199093,0.005162870685660262,0.007953768164326929,0.19452685897852026,0.1281932291832202,0.2701672927199866,1.0,1.0,1.0
