scene_id,valid_candidate_count,kinematic_valid_count,hard_vector_diversity,consequence_distance_mean,consequence_distance_std,equivalent_pairs,divergent_pairs,ambiguous_pairs,safety_boundary_pairs,has_equivalent_and_divergent,categories
006a99c013c25bd1,16,16,2,0.4149191837247449,0.4785526479201242,46,29,45,7,True,"straight,junction,dynamic_interaction,candidate_sensitive"
00db839919845d3f,9,10,1,0.1925512820798132,0.18614751344203181,11,0,25,0,False,"straight,dynamic_interaction,near_collision"
014725c44c265d3e,16,16,3,0.739498691319529,0.7729706650597331,14,26,80,14,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
037dc3b77bb153bb,15,16,3,1.0736670809118525,0.7075592142229122,12,70,23,18,True,"turning,junction,static_easy,candidate_sensitive"
03898b4b186d5da5,16,16,1,0.28914882776975653,0.24029772119814766,23,2,95,0,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
03974268ba065826,16,16,1,0.7020712474549917,0.6576844197311958,10,41,69,0,True,"straight,junction,dynamic_interaction,candidate_sensitive"
03ca3fabe9ab524f,16,16,1,0.446302961387943,0.24522886330139484,4,10,106,0,True,"straight,dynamic_interaction,candidate_sensitive"
03db2416cdf053cb,16,16,1,0.32003275011912075,0.20919203336693873,11,3,106,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
04ac344d377f5c13,16,16,1,0.3820783738636557,0.41319072530960166,27,28,65,0,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
04bd3c173b2f5805,10,10,1,0.22877173945350557,0.12229102407348161,5,0,40,0,False,"turning,junction,dynamic_interaction"
062d78cd67835cf6,15,16,1,0.46393825631236824,0.6022999043457363,35,27,43,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
077e7d4e39b95cda,16,16,1,0.5586442375024951,0.4163095816784664,13,32,75,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
086e0f78d9655b2a,15,16,1,0.8813368692209247,0.7532570369570508,8,57,40,0,True,"turning,static_easy,candidate_sensitive"
08c425fec5365fc3,15,16,1,0.5272204555387867,0.5518043794569385,8,26,71,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
097fb01da754566e,12,12,1,0.48345369243159664,0.30350804533295805,5,12,49,0,True,"turning,junction,dynamic_interaction,near_collision,candidate_sensitive"
0a87d1ffc8b856a4,16,16,2,0.8578537111295946,0.8258968701644411,27,61,32,17,True,"straight,junction,dynamic_interaction,candidate_sensitive"
0ab6d00e5b215474,10,10,1,0.11818610033525781,0.07749112299209525,21,0,24,0,False,"straight,dynamic_interaction,near_collision"
0aba85e2a5505a05,16,16,2,0.8793034029051418,0.7306427512150923,17,59,44,6,True,"straight,junction,dynamic_interaction,candidate_sensitive"
0aca77b3c41953cf,16,16,1,0.5572816121597868,0.576390323245596,26,41,53,0,True,"turning,junction,static_easy,candidate_sensitive"
0b2061c2aced52de,16,16,1,0.5021129614394787,0.6984109182189676,42,28,50,0,True,"straight,junction,dynamic_interaction,candidate_sensitive"
0b252c9a7ab652c6,15,16,1,0.6218773124821368,0.74771173124447,17,26,62,0,True,"turning,dynamic_interaction,candidate_sensitive"
0b73c50759445882,10,10,1,0.21221641018053153,0.08886763980372243,4,0,41,0,False,"turning,dynamic_interaction"
0b851ad2bf9c54b9,16,16,2,0.6658451945621255,0.4992885061648943,9,43,68,21,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
0bcaf4e5af60552e,15,16,1,0.41649275674734443,0.3295738850513365,15,17,73,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
0c2668e3ce5251ca,16,16,1,0.3584076692989275,0.30953220473190346,14,16,90,0,True,"straight,dynamic_interaction,candidate_sensitive"
0c36e5be6efe54c8,15,16,1,0.32851511597461436,0.35231360515705834,28,13,64,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
0ce464fbd7655006,16,16,2,0.5554268794625415,0.513332674536778,22,37,61,13,True,"straight,static_easy,candidate_sensitive"
0d4c3103fa4a5fdb,16,16,1,0.5604898184586524,0.5895591829466093,10,28,82,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
0d54f3d4f20c5535,16,16,1,0.4050059858439357,0.3544539903995474,13,16,91,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
0db63492d72753cd,16,16,2,0.680924981223217,0.7816261650895577,23,41,56,7,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
0de342f4dc1659a3,10,10,1,0.39235482585149933,0.30759809680815164,3,8,34,0,True,"turning,junction,dynamic_interaction,near_collision,candidate_sensitive"
0ee84d69449d5d59,16,16,1,0.3438813150984318,0.3978095105527716,38,26,56,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
11a442e829725ea4,16,16,1,0.5511637162315365,0.39727488100931757,5,26,89,0,True,"straight,dynamic_interaction,candidate_sensitive"
12009f0ee2f95e20,16,16,2,0.290413656286467,0.3684551779407317,31,15,74,6,True,"turning,dynamic_interaction,near_collision,candidate_sensitive"
1320458f13295899,16,16,2,0.475097099295321,0.46761669737900174,15,27,78,7,True,"straight,static_easy,candidate_sensitive"
135d4a66f649579c,16,16,2,0.6217530516664947,0.6341618965157657,34,51,35,13,True,"straight,junction,dynamic_interaction,candidate_sensitive"
146f6746fbce5440,16,16,2,0.5567248035505268,0.5258277191503165,22,39,59,19,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
14a9c847fff35a0f,16,16,1,0.3725587133905247,0.26641203541034364,15,10,95,0,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
1541af1702625c19,16,16,1,0.5225403079888008,0.45419282268219263,23,35,62,0,True,"straight,dynamic_interaction,candidate_sensitive"
16719661f7425665,16,16,1,0.30726970373357726,0.30731633657316276,32,15,73,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
1679045ef1f954b1,16,16,1,0.36745577664574186,0.38422662604371344,24,15,81,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
16e07c7673ad5755,16,16,1,0.35663823818704116,0.39356240003195553,28,14,78,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
16e446eab82b5d45,16,16,3,0.9914214503434279,1.0452338252776048,21,63,36,19,True,"turning,junction,dynamic_interaction,near_collision,candidate_sensitive"
175b796d5ef85d23,10,10,1,0.13140871676953253,0.06573851441832002,13,0,32,0,False,"straight,dynamic_interaction,near_collision"
17e91c262295567e,16,16,2,0.5351450798933842,0.5919513610354551,34,41,45,7,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
191f94dc85fd5899,15,16,2,0.9484264140310648,1.1628696968435202,4,27,74,0,True,"turning,junction,dynamic_interaction,candidate_sensitive"
1985aee75e0d56a2,16,16,1,0.34770144478577564,0.3443481791853216,24,21,75,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
198a80bb72b2578f,10,10,1,0.3349932464533334,0.14127268291486417,0,0,45,0,False,"turning,dynamic_interaction"
1a3c369459735f47,16,16,2,0.671151727956729,0.7164629076628302,18,41,61,18,True,"straight,dynamic_interaction,candidate_sensitive"
1bb24d1845415748,16,16,2,0.6895922926875512,0.665672556545206,11,46,63,1,True,"turning,junction,dynamic_interaction,candidate_sensitive"
1ce56f9b6d025f2b,16,16,1,0.3296684628434935,0.2699372275857591,15,13,92,0,True,"turning,junction,dynamic_interaction,near_collision,candidate_sensitive"
20ad18d721175896,16,16,2,0.7599156515824091,0.6847838459048124,27,61,32,17,True,"straight,junction,dynamic_interaction,candidate_sensitive"
20f4b98587d25c47,15,16,1,0.42372377267073014,0.3707156511434962,14,16,75,0,True,"turning,junction,dynamic_interaction,near_collision,candidate_sensitive"
2287e82a95905593,10,10,1,0.4276403380007834,0.5745950778757993,11,9,25,0,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
22e0a0d7a13054c4,16,16,1,0.5962369346570455,0.8349998583491371,37,28,55,0,True,"straight,junction,dynamic_interaction,candidate_sensitive"
232c9cc57f5d518d,16,16,1,0.7196598737644937,0.8691964781077488,27,41,52,0,True,"straight,dynamic_interaction,candidate_sensitive"
23c07c2311925a37,16,16,1,0.36604383114854694,0.3196504040589344,9,14,97,0,True,"turning,junction,dynamic_interaction,near_collision,candidate_sensitive"
244acddfc02a51fd,16,16,1,0.4204435673579552,0.376673790007044,16,16,88,0,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
253191d7064a5ebe,16,16,2,0.6863939238187029,0.5938747158613915,26,52,42,1,True,"turning,junction,dynamic_interaction,candidate_sensitive"
254ee9fd016f583b,11,11,1,0.5017272156169498,0.41084364315745425,1,11,43,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
256048e0d10a59dc,16,16,2,0.48215375114999315,0.46482497424906083,10,20,90,6,True,"straight,dynamic_interaction,candidate_sensitive"
2596335e02705952,16,16,1,0.2521437086108433,0.17606420434492714,22,0,98,0,False,"straight,junction,dynamic_interaction,near_collision"
25ea324dbee45763,3,3,1,0.3257768843293614,0.11680669846175787,0,0,3,0,False,turning
2662a3ff62425572,16,16,2,0.4216892638376574,0.43046115009371877,25,19,76,7,True,"straight,junction,dynamic_interaction,candidate_sensitive"
268294b091a75dd2,16,16,1,0.4600428262878854,0.42351377093697773,11,27,82,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
268f5099cafc55c0,16,16,1,0.34628555721464366,0.3822446366495734,33,19,68,0,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
27dcba80886b5499,16,16,1,0.9553809479586335,0.8966231557917917,28,71,21,0,True,"straight,junction,dynamic_interaction,candidate_sensitive"
287cd40f18eb5a61,10,10,1,0.2364484721684687,0.16428179985606978,8,0,37,0,False,"turning,dynamic_interaction"
295085b0acdd5865,16,16,1,0.31614263465609405,0.3345784909774247,32,16,72,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
2a26b0df69b859a3,15,16,2,0.9778227481512621,0.7412676958390825,4,62,39,13,True,"turning,static_easy,candidate_sensitive"
2b458e47409952a5,16,16,1,0.660721060936247,0.543856390895718,4,32,84,0,True,"turning,junction,dynamic_interaction,near_collision,candidate_sensitive"
2b5b074e74e350fb,16,16,2,0.4894110566110218,0.6611765988602525,14,0,106,8,False,"straight,junction,dynamic_interaction,near_collision"
2b95cba0f0165d87,16,16,2,0.714304480905304,0.6230108018058266,21,43,56,24,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
2c12d5c93a4d58aa,16,16,1,0.3723252783219407,0.4187011430248071,25,28,67,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
2c519f12e14159ed,16,16,2,0.5176238621863055,0.6140271664773218,39,40,41,7,True,"straight,junction,static_easy,candidate_sensitive"
2d0d216beeb35828,16,16,1,0.5684995294286931,0.8119895957443696,42,28,50,0,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
2d788ee71afe5ff4,16,16,2,1.0538688587410079,0.6915830758274091,4,83,33,6,True,"turning,junction,dynamic_interaction,candidate_sensitive"
2d93312c1d9550fc,0,0,0,,,0,0,0,0,False,straight
2de61e18fea35d95,16,16,1,0.5065324807208389,0.6051553418703871,18,28,74,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
2df023fe2eab5aa7,16,16,2,0.6569559217861164,0.5917634727250187,26,58,36,14,True,"straight,static_easy,candidate_sensitive"
2e1802ef9ce05d52,15,16,2,0.736006603154329,0.634992183634818,6,48,51,6,True,"turning,junction,dynamic_interaction,candidate_sensitive"
2e90c23d0b2c5c3d,16,16,2,0.7777415499168092,0.6680320816633639,10,41,69,19,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
2eb20ba165855d43,10,10,1,0.5265383533341519,0.7117203347038872,15,9,21,0,True,"straight,junction,dynamic_interaction,near_collision,candidate_sensitive"
2ee6ff1ed08c5bec,10,10,1,0.22382598051724814,0.2299566199666697,14,0,31,0,False,"straight,dynamic_interaction"
2f11159083385ce4,15,16,1,0.3578761971031927,0.25516036771439754,7,12,86,0,True,"turning,junction,static_easy,candidate_sensitive"
2f43e6877b1a5a0c,16,16,1,0.2815126934074782,0.1713476944796846,12,1,107,0,True,"turning,dynamic_interaction,candidate_sensitive"
30c563a746ce5278,16,16,2,0.40810253878331615,0.4238035594227884,11,17,92,7,True,"straight,junction,dynamic_interaction,candidate_sensitive"
31986587fe43598b,10,10,1,0.4426755750083947,0.6976461555536141,19,9,17,0,True,"straight,dynamic_interaction,near_collision,candidate_sensitive"
31a41795b8425c73,13,13,2,0.7849913098498733,0.8367076208262784,17,32,29,13,True,"straight,junction,dynamic_interaction,candidate_sensitive"
32b8e2d15f1857b9,15,16,3,0.9018653025764667,0.7199685793740872,9,59,37,16,True,"turning,junction,dynamic_interaction,near_collision,candidate_sensitive"
