model,fold,epoch,train_total,train_raw,train_delta,monitor_total,monitor_raw,monitor_delta,best_epoch
mlp_delta,0,0,5.1831865310668945,1.0332375764846802,4.149949073791504,3.050966739654541,1.1118662357330322,1.9391003847122192,103
mlp_delta,0,1,2.8531408309936523,1.0137121677398682,1.8394287824630737,2.42117977142334,1.0908304452896118,1.3303494453430176,103
mlp_delta,0,2,2.2106754779815674,0.9907575249671936,1.2199180126190186,2.209728479385376,1.0647602081298828,1.1449682712554932,103
mlp_delta,0,3,2.0030994415283203,0.964680552482605,1.0384190082550049,2.112905740737915,1.0389617681503296,1.0739439725875854,103
mlp_delta,0,4,1.9106247425079346,0.9396336078643799,0.9709911942481995,2.056867837905884,1.015687346458435,1.0411804914474487,103
mlp_delta,0,5,1.857966661453247,0.9174336194992065,0.9405330419540405,2.0194737911224365,0.9956089854240417,1.02386474609375,103
mlp_delta,0,6,1.8232312202453613,0.8985848426818848,0.9246463179588318,1.9924520254135132,0.9787051677703857,1.0137468576431274,103
mlp_delta,0,7,1.798404335975647,0.8829801082611084,0.9154242277145386,1.972032904624939,0.9646649360656738,1.0073679685592651,103
mlp_delta,0,8,1.7798471450805664,0.8702371716499329,0.9096100330352783,1.9561431407928467,0.9530413746833801,1.0031017065048218,103
mlp_delta,0,9,1.7655298709869385,0.8598387837409973,0.9056910872459412,1.943430781364441,0.9433184862136841,1.0001122951507568,103
mlp_delta,0,10,1.7541043758392334,0.8512077927589417,0.9028966426849365,1.9329023361206055,0.9349632859230042,0.9979390501976013,103
mlp_delta,0,11,1.7445708513259888,0.8437666296958923,0.9008042216300964,1.9237957000732422,0.9274797439575195,0.9963159561157227,103
mlp_delta,0,12,1.7361615896224976,0.8369925022125244,0.8991690874099731,1.9155327081680298,0.9204490780830383,0.9950836300849915,103
mlp_delta,0,13,1.7283000946044922,0.8304562568664551,0.8978438973426819,1.907692551612854,0.913546621799469,0.994145929813385,103
mlp_delta,0,14,1.7205729484558105,0.8238347172737122,0.8967382907867432,1.899985671043396,0.906538724899292,0.993446946144104,103
mlp_delta,0,15,1.712701678276062,0.8169047832489014,0.8957968950271606,1.8922264575958252,0.8992696404457092,0.9929567575454712,103
mlp_delta,0,16,1.7045155763626099,0.8095285892486572,0.8949869871139526,1.884308099746704,0.8916440606117249,0.9926640391349792,103
mlp_delta,0,17,1.6959271430969238,0.8016354441642761,0.8942916989326477,1.876180648803711,0.8836095929145813,0.9925709962844849,103
mlp_delta,0,18,1.6869101524353027,0.7932049036026001,0.8937051892280579,1.8678338527679443,0.8751436471939087,0.9926901459693909,103
mlp_delta,0,19,1.6774829626083374,0.7842533588409424,0.893229603767395,1.8592838048934937,0.866243839263916,0.9930399656295776,103
mlp_delta,0,20,1.667694091796875,0.7748218178749084,0.8928722143173218,1.8505663871765137,0.8569245338439941,0.9936417937278748,103
mlp_delta,0,21,1.6576147079467773,0.7649717926979065,0.8926428556442261,1.841733694076538,0.8472190499305725,0.9945147037506104,103
mlp_delta,0,22,1.6473336219787598,0.7547834515571594,0.8925502300262451,1.832852840423584,0.8371837735176086,0.9956691265106201,103
mlp_delta,0,23,1.6369574069976807,0.7443575859069824,0.8925997614860535,1.8240020275115967,0.826902449131012,0.9970995783805847,103
mlp_delta,0,24,1.6266043186187744,0.7338157296180725,0.8927885890007019,1.815266728401184,0.8164880871772766,0.9987786412239075,103
mlp_delta,0,25,1.6163978576660156,0.7232951521873474,0.893102765083313,1.8067353963851929,0.8060829639434814,1.0006524324417114,103
mlp_delta,0,26,1.6064586639404297,0.7129432559013367,0.8935153484344482,1.7984957695007324,0.7958531975746155,1.0026425123214722,103
mlp_delta,0,27,1.596891164779663,0.7029063105583191,0.8939849138259888,1.7906315326690674,0.7859773635864258,1.0046541690826416,103
mlp_delta,0,28,1.587773323059082,0.6933186054229736,0.8944546580314636,1.7832194566726685,0.7766265869140625,1.006592869758606,103
