model,split,feature,horizon_s,channel,statistic,support,truth_std,mae,rmse,normalized_rmse,r2,spearman
extra_trees,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_mean,1.0,candidate_relative_dynamic_occupancy,mean,19404,0.034130439162254333,0.012978085316717625,0.017386723309755325,0.5094186300091182,0.7404914113951901,0.8653098575707251
extra_trees,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_std,1.0,candidate_relative_dynamic_occupancy,std,19404,0.07737860828638077,0.031067809090018272,0.03931739926338196,0.5081145254960338,0.7418169709520172,0.8665247028374121
extra_trees,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_min,1.0,candidate_relative_dynamic_occupancy,min,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_max,1.0,candidate_relative_dynamic_occupancy,max,19404,0.12337623536586761,0.02150031551718712,0.1084304079413414,0.8787655591706639,0.2276055302637673,0.21652827730390548
extra_trees,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_q10,1.0,candidate_relative_dynamic_occupancy,q10,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_q90,1.0,candidate_relative_dynamic_occupancy,q90,19404,0.2609739601612091,0.07790853828191757,0.1901978701353073,0.7287858691413331,0.4688503120785358,0.4242822935881391
extra_trees,outer_train_oof,C_environment_only_h1s_candidate_relative_dynamic_occupancy_nonzero_fraction,1.0,candidate_relative_dynamic_occupancy,nonzero_fraction,19404,0.034130439162254333,0.012978085316717625,0.017386723309755325,0.5094186300091182,0.7404914113951901,0.8653098575707251
extra_trees,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_mean,1.0,relative_longitudinal_velocity,mean,19404,0.007955633103847504,0.004013995174318552,0.005645006895065308,0.7095610722879507,0.49652328878422125,0.752034820605823
extra_trees,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_std,1.0,relative_longitudinal_velocity,std,19404,0.029039187356829643,0.015193542465567589,0.020185163244605064,0.6951002507455273,0.5168348469152033,0.7198958268633805
extra_trees,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_min,1.0,relative_longitudinal_velocity,min,19404,0.19303037226200104,0.11116016656160355,0.1705755591392517,0.8836642114717544,0.21912356695749313,0.5304029795039438
extra_trees,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_max,1.0,relative_longitudinal_velocity,max,19404,0.22730512917041779,0.12050007283687592,0.15532535314559937,0.6833438977955314,0.5330544597332658,0.7429408834240361
extra_trees,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_q10,1.0,relative_longitudinal_velocity,q10,19404,0.008030524477362633,0.0010129380971193314,0.007732099387794733,0.9627684241568144,0.07294164310749729,0.16725802843428225
extra_trees,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_q90,1.0,relative_longitudinal_velocity,q90,19404,0.014121591113507748,0.0027003251016139984,0.012948185205459595,0.9168237624122785,0.15928158225832856,0.29123690861725005
extra_trees,outer_train_oof,C_environment_only_h1s_relative_longitudinal_velocity_nonzero_fraction,1.0,relative_longitudinal_velocity,nonzero_fraction,19404,0.03356732428073883,0.01321893185377121,0.017955705523490906,0.5349157243391944,0.7138646967127071,0.8528619854158483
extra_trees,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_mean,1.0,relative_lateral_velocity,mean,19404,0.011466009542346,0.004513061139732599,0.007923638448119164,0.6910581758311558,0.5224435924854894,0.7961053585494197
extra_trees,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_std,1.0,relative_lateral_velocity,std,19404,0.03129623085260391,0.011427732184529305,0.015951694920659065,0.509700132805318,0.7402056952987556,0.8675104320466023
extra_trees,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_min,1.0,relative_lateral_velocity,min,19404,0.16783730685710907,0.0785907432436943,0.11098868399858475,0.6613256675697643,0.5626990815322245,0.6537048940290625
extra_trees,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_max,1.0,relative_lateral_velocity,max,19404,0.16085386276245117,0.06990201026201248,0.09865628182888031,0.6133577946022343,0.6238280216440929,0.6906510639342914
extra_trees,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_q10,1.0,relative_lateral_velocity,q10,19404,0.03671971336007118,0.006634836550801992,0.029089070856571198,0.7920994738602359,0.3724316317220515,0.32749343374627166
extra_trees,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_q90,1.0,relative_lateral_velocity,q90,19404,0.02426926977932453,0.0048874360509216785,0.020507385954260826,0.8450211815217462,0.28598532517323705,0.2860780312230543
extra_trees,outer_train_oof,C_environment_only_h1s_relative_lateral_velocity_nonzero_fraction,1.0,relative_lateral_velocity,nonzero_fraction,19404,0.034157782793045044,0.013322816230356693,0.01790485344827175,0.5241791286012318,0.725234511176285,0.8498758529235176
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_clearance_mean,1.0,dynamic_clearance,mean,19404,0.18865804374217987,0.07335194945335388,0.10186221450567245,0.5399304078700051,0.7084751668874514,0.8673900218252683
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_clearance_std,1.0,dynamic_clearance,std,19404,0.068280890583992,0.04068436101078987,0.053767722100019455,0.7874505059692908,0.3799240669216106,0.646865619456917
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_clearance_min,1.0,dynamic_clearance,min,19404,0.12724395096302032,0.026817191392183304,0.10810866951942444,0.849577064598561,0.27815037039174406,0.36225935714735774
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_clearance_max,1.0,dynamic_clearance,max,19404,0.1760886311531067,0.09226527810096741,0.11817968636751175,0.6711511459720122,0.5495744315170241,0.7424564416517553
extra_trees,outer_train_oof,C_environment_only_h1s_dynamic_clearance_q10,1.0,dynamic_clearance,q10,19404,0.15349982678890228,0.048315517604351044,0.10448625683784485,0.6807012550341838,0.53665704474616,0.8726479618896862
