token,log_name,label,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score,v2_training_reward,saved_advantage,v2_no_at_fault_collisions,v2_drivable_area_compliance,v2_driving_direction_compliance,v2_traffic_light_compliance,v2_ego_progress,v2_time_to_collision_within_bound,v2_lane_keeping,v2_history_comfort,v2_pdm_score,v2_two_frame_extended_comfort,v2_score
0953217e49dc5cc6,2021.05.12.23.36.44_veh-35_00712_00774,candidate0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
0953217e49dc5cc6,2021.05.12.23.36.44_veh-35_00712_00774,candidate1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
0953217e49dc5cc6,2021.05.12.23.36.44_veh-35_00712_00774,candidate2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
0953217e49dc5cc6,2021.05.12.23.36.44_veh-35_00712_00774,candidate3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
0953217e49dc5cc6,2021.05.12.23.36.44_veh-35_00712_00774,candidate4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
0953217e49dc5cc6,2021.05.12.23.36.44_veh-35_00712_00774,candidate5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
0953217e49dc5cc6,2021.05.12.23.36.44_veh-35_00712_00774,candidate6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
0953217e49dc5cc6,2021.05.12.23.36.44_veh-35_00712_00774,candidate7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3905ad40c3d5528c,2021.10.05.06.57.40_veh-50_01131_01452,candidate0,True,1.0,1.0,0.8633602564138951,1.0,1.0,1.0,0.9430667735057896,0.9520096487951913,-0.8017224669456482,1.0,1.0,1.0,1.0,0.865627016626536,1.0,1.0,1.0,0.9520096487951913,,0.9520096487951913
3905ad40c3d5528c,2021.10.05.06.57.40_veh-50_01131_01452,candidate1,True,1.0,1.0,0.8740195444340698,1.0,1.0,1.0,0.9475081435141958,0.9558265323944436,2.1319403648376465,1.0,1.0,1.0,1.0,0.8763142907044422,1.0,1.0,1.0,0.9558265323944436,,0.9558265323944436
3905ad40c3d5528c,2021.10.05.06.57.40_veh-50_01131_01452,candidate2,True,1.0,1.0,0.8644447377056724,1.0,1.0,1.0,0.9435186407106969,0.9523979804406489,-0.5032526850700378,1.0,1.0,1.0,1.0,0.8667143452338171,1.0,1.0,1.0,0.9523979804406489,,0.9523979804406489
3905ad40c3d5528c,2021.10.05.06.57.40_veh-50_01131_01452,candidate3,True,1.0,1.0,0.8655052589180612,1.0,1.0,1.0,0.9439605245491922,0.9527777324479655,-0.21137985587120056,1.0,1.0,1.0,1.0,0.8677776508543033,1.0,1.0,1.0,0.9527777324479655,,0.9527777324479655
3905ad40c3d5528c,2021.10.05.06.57.40_veh-50_01131_01452,candidate4,True,1.0,1.0,0.8638551742952493,1.0,1.0,1.0,0.9432729892896873,0.9521868692568903,-0.6655212640762329,1.0,1.0,1.0,1.0,0.866123233919293,1.0,1.0,1.0,0.9521868692568903,,0.9521868692568903
3905ad40c3d5528c,2021.10.05.06.57.40_veh-50_01131_01452,candidate5,True,1.0,1.0,0.8686284842208251,1.0,1.0,1.0,0.9452618684253439,0.9538960986476896,0.6482040882110596,1.0,1.0,1.0,1.0,0.8709090762135312,1.0,1.0,1.0,0.9538960986476896,,0.9538960986476896
3905ad40c3d5528c,2021.10.05.06.57.40_veh-50_01131_01452,candidate6,True,1.0,1.0,0.8682908728659522,1.0,1.0,1.0,0.94512119702748,0.953775206591776,0.5552958846092224,1.0,1.0,1.0,1.0,0.8705705784569727,1.0,1.0,1.0,0.953775206591776,,0.953775206591776
3905ad40c3d5528c,2021.10.05.06.57.40_veh-50_01131_01452,candidate7,True,1.0,1.0,0.8620823978666785,1.0,1.0,1.0,0.9425343324444494,0.9515520725178825,-1.1534266471862793,1.0,1.0,1.0,1.0,0.8643458030500708,1.0,1.0,1.0,0.9515520725178825,,0.9515520725178825
3a78c83937505721,2021.06.08.14.14.51_veh-35_01508_01763,candidate0,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,0.6428571428571429,-2.6457290649414062,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6428571428571429,,0.6428571428571429
3a78c83937505721,2021.06.08.14.14.51_veh-35_01508_01763,candidate1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37796133756637573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3a78c83937505721,2021.06.08.14.14.51_veh-35_01508_01763,candidate2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37796133756637573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3a78c83937505721,2021.06.08.14.14.51_veh-35_01508_01763,candidate3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37796133756637573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3a78c83937505721,2021.06.08.14.14.51_veh-35_01508_01763,candidate4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37796133756637573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3a78c83937505721,2021.06.08.14.14.51_veh-35_01508_01763,candidate5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37796133756637573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3a78c83937505721,2021.06.08.14.14.51_veh-35_01508_01763,candidate6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37796133756637573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
3a78c83937505721,2021.06.08.14.14.51_veh-35_01508_01763,candidate7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37796133756637573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
42d697d42b1f519e,2021.06.23.20.00.35_veh-35_00130_00949,candidate0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
42d697d42b1f519e,2021.06.23.20.00.35_veh-35_00130_00949,candidate1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
42d697d42b1f519e,2021.06.23.20.00.35_veh-35_00130_00949,candidate2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
42d697d42b1f519e,2021.06.23.20.00.35_veh-35_00130_00949,candidate3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
42d697d42b1f519e,2021.06.23.20.00.35_veh-35_00130_00949,candidate4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
42d697d42b1f519e,2021.06.23.20.00.35_veh-35_00130_00949,candidate5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
42d697d42b1f519e,2021.06.23.20.00.35_veh-35_00130_00949,candidate6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
42d697d42b1f519e,2021.06.23.20.00.35_veh-35_00130_00949,candidate7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
5190b6d90ea458ff,2021.06.14.18.33.41_veh-35_02054_02129,candidate0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
5190b6d90ea458ff,2021.06.14.18.33.41_veh-35_02054_02129,candidate1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
