token,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,pdm_score,valid,log_name,frame_type,start_time,endpoint_x,endpoint_y,start_point_x,start_point_y,two_frame_extended_comfort,effective_metric_weights,score
015173513fc25684,1.0,1.0,1.0,1.0,0.8026096446530177,1.0,1.0,1.0,0.9295034445189349,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422032.4992988,365650.5180716118,143859.72340797714,365629.4034714551,143846.10450665044,0.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.813315513954068
0265d0c659745deb,1.0,1.0,1.0,1.0,0.7901812446213949,1.0,1.0,1.0,0.9250647302219267,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422026.0001838,365615.2944474227,143849.813262527,365588.7602171805,143858.03735849416,,"[5.0, 5.0, 2.0, 2.0, 0.0]",0.9250647302219267
027d63f008ba518b,1.0,1.0,1.0,1.0,0.9136684585933516,1.0,1.0,1.0,0.9691673066404827,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422021.499794,365586.01738750783,143858.9525860628,365576.6815928257,143872.51459508037,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.9730213933104224
04d3c2f7702750b6,1.0,1.0,1.0,1.0,0.7081407150739908,1.0,1.0,1.0,0.8957645410978538,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422117.999785,365569.4205305841,144004.46290698915,365577.0600780823,143991.53755302884,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.9087939734606221
066d174c1ee2516a,1.0,1.0,1.0,1.0,0.6739595468890308,1.0,1.0,1.0,0.8835569810317967,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422116.000133,365571.6272400295,143995.7235351551,365581.2855986115,143990.6933313977,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.8981123584028221
077e1ef7a2dd526e,1.0,1.0,1.0,1.0,0.6175677850106233,1.0,1.0,1.0,0.8634170660752226,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422008.499812,365575.8008896355,143890.81562392222,365575.2683441398,143909.38167504853,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.8804899328158198
079dad1bf4aa53ff,1.0,1.0,1.0,1.0,0.6509258201401159,1.0,1.0,1.0,0.8753306500500414,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422115.499861,365572.73661699763,143994.2832548782,365581.9032407006,143990.64424624,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.8909143187937862
0965ca8d343855bd,1.0,1.0,1.0,1.0,0.5829268522768145,1.0,1.0,1.0,0.7081881615274338,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422081.999625,365686.6293873584,143945.15595541213,365687.1242497786,143937.59473644206,,"[5.0, 5.0, 2.0, 2.0, 0.0]",0.8510453043845766
0dbe21f7e02a578a,1.0,1.0,1.0,1.0,0.7004011483510515,1.0,1.0,1.0,0.8930004101253756,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422117.4999719,365569.7149743463,144002.08819846134,365578.4074340578,143991.1302716422,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.9063753588597037
0e3398e6271350b4,1.0,1.0,1.0,1.0,0.6626916977576827,1.0,1.0,1.0,0.8795327491991723,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422084.000475,365683.9867237252,143951.79241640813,365687.0941398415,143940.9382201902,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.8945911555492758
0ef4861884495fee,1.0,1.0,1.0,1.0,0.6395203978455842,1.0,1.0,1.0,0.8712572849448516,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422086.9997249,365675.13426197483,143958.2552119584,365685.7520213849,143948.5572905226,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.8873501243267451
113ce1e07c7a5543,1.0,1.0,1.0,1.0,0.7112034989775712,1.0,1.0,1.0,0.7540012496348468,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422040.5001838,365681.87964180275,143915.57717196495,365669.4871621181,143887.71956300052,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.909751093430491
1aaa5de27ef2529c,1.0,1.0,1.0,1.0,0.7753753644618254,1.0,1.0,1.0,0.7769197730220805,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422088.500563,365668.9006158566,143960.37686929666,365682.95120503334,143953.23699610183,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.9298048013943204
1bdb793cdfcd5db0,1.0,1.0,1.0,1.0,0.6060698491930815,1.0,1.0,1.0,0.7164535175689577,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422114.9996688,365574.329649848,143992.95751271007,365582.43116986775,143990.58588010352,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.876896827872838
1c6cfd6bae4954dc,1.0,1.0,1.0,1.0,0.6605224515155792,1.0,1.0,1.0,0.878758018398421,True,2021.10.05.08.11.15_veh-50_00437_00585,0,1633422086.4995599,365676.84359667794,143957.54488250372,365686.2631074262,143946.98375342958,1.0,"[5.0, 5.0, 2.0, 2.0, 2.0]",0.8939132660986184
