run,tag,epoch,n,mean
old,lr-AdamW/planning_adapter_decay,1,16,0.00011863636291309376
old,lr-AdamW/planning_adapter_decay,2,16,0.0002879692210626672
old,lr-AdamW/planning_adapter_decay,3,16,0.0002985611827170942
old,lr-AdamW/planning_adapter_decay,4,16,0.0002952666181954555
old,lr-AdamW/planning_adapter_decay,5,16,0.0002900539166148519
old,lr-AdamW/planning_adapter_decay,6,16,0.0002829998247761978
old,lr-AdamW/planning_adapter_decay,7,16,0.00027420822516432963
old,lr-AdamW/planning_adapter_decay,8,17,0.00026345146504942984
old,lr-AdamW/planning_adapter_decay,9,16,0.00025116861797869205
old,lr-AdamW/planning_adapter_decay,10,16,0.0002379598663537763
old,lr-AdamW/planning_adapter_decay,11,16,0.00022367680230672704
old,lr-AdamW/planning_adapter_decay,12,16,0.00020852973648288753
old,lr-AdamW/planning_adapter_decay,13,16,0.00019274170699645765
old,lr-AdamW/planning_adapter_decay,14,16,0.00017654518705967348
old,lr-AdamW/planning_adapter_decay,15,17,0.00015966752578285248
old,lr-AdamW/planning_adapter_decay,16,16,0.000142872523611004
old,lr-AdamW/planning_adapter_decay,17,16,0.0001269152544409735
old,lr-AdamW/planning_adapter_decay,18,16,0.0001115187706091092
old,lr-AdamW/planning_adapter_decay,19,16,9.690978413345874e-05
old,lr-AdamW/planning_adapter_decay,20,16,8.330340870088548e-05
old,lr-AdamW/planning_adapter_decay,21,16,7.089999144227477e-05
old,lr-AdamW/planning_adapter_decay,22,17,5.9570372019045276e-05
old,lr-AdamW/planning_adapter_decay,23,16,4.98750171118445e-05
old,lr-AdamW/planning_adapter_decay,24,16,4.220183291181456e-05
old,lr-AdamW/planning_adapter_decay,25,16,3.6336817629489815e-05
old,lr-AdamW/planning_adapter_decay,26,16,3.2366333243771805e-05
old,lr-AdamW/planning_adapter_decay,27,16,3.0348843779393064e-05
old,lr-AdamW/planning_adapter_no_decay,1,16,0.00011863636291309376
old,lr-AdamW/planning_adapter_no_decay,2,16,0.0002879692210626672
old,lr-AdamW/planning_adapter_no_decay,3,16,0.0002985611827170942
old,lr-AdamW/planning_adapter_no_decay,4,16,0.0002952666181954555
old,lr-AdamW/planning_adapter_no_decay,5,16,0.0002900539166148519
old,lr-AdamW/planning_adapter_no_decay,6,16,0.0002829998247761978
