step,rank,group,cosine,cosine_defined,plan_norm,unweighted_wm_norm,weighted_wm_norm,weighted_wm_to_plan_ratio
0,0,planning_readout,0.08307480067014694,True,10.659928321838379,1.4826833009719849,0.014826832339167595,0.0013908941764384508
0,0,planning_registers,-0.3346835672855377,True,62.026432037353516,8.88158893585205,0.08881589025259018,0.001431903918273747
0,0,readout_output,0.043396852910518646,True,0.053907498717308044,0.0059908307157456875,5.990830686641857e-05,0.0011113167274743319
0,0,vision_qv_lora,0.1914674937725067,True,2.1922607421875,0.15244486927986145,0.0015244486276060343,0.000695377413649112
500,0,planning_readout,0.19119152426719666,True,8.427570343017578,0.5836451649665833,0.01789025589823723,0.002122824778780341
500,0,planning_registers,0.12915748357772827,True,38.571163177490234,1.569697618484497,0.04811535030603409,0.001247443608008325
500,0,readout_output,0.0607324093580246,True,0.07366683334112167,0.004688259679824114,0.00014370745338965207,0.0019507755059748888
500,0,vision_qv_lora,0.2585935592651367,True,3.1399686336517334,0.24471300840377808,0.007501095533370972,0.002388907829299569
1000,0,planning_readout,-0.1484372466802597,True,6.466830730438232,2.0929348468780518,0.1073785349726677,0.016604507341980934
1000,0,planning_registers,-0.5657588839530945,True,7.883701324462891,1.0869367122650146,0.055765554308891296,0.007073524408042431
1000,0,readout_output,0.007905244827270508,True,0.05761609971523285,0.01183882262557745,0.0006073936820030212,0.010542082600295544
1000,0,vision_qv_lora,-0.36837634444236755,True,4.936770439147949,1.1861039400100708,0.06085335463285446,0.012326551601290703
1500,0,planning_readout,-0.05290240794420242,True,12.98812484741211,2.741708993911743,0.19728754460811615,0.015189840458333492
1500,0,planning_registers,0.41204172372817993,True,13.987142562866211,2.366102695465088,0.17025971412658691,0.012172587215900421
1500,0,readout_output,0.06313695013523102,True,0.09831219911575317,0.02704111486673355,0.0019458211027085781,0.019792264327406883
1500,0,vision_qv_lora,0.13976846635341644,True,17.104188919067383,2.111036777496338,0.15190571546554565,0.008881199173629284
2000,0,planning_readout,0.14114755392074585,True,11.49449348449707,2.1140408515930176,0.1957823634147644,0.01703270897269249
2000,0,planning_registers,-0.1401047557592392,True,17.022985458374023,1.326572299003601,0.12285451591014862,0.00721697835251689
2000,0,readout_output,0.050054341554641724,True,0.11439353227615356,0.017829565331339836,0.001651204889640212,0.01443442516028881
2000,0,vision_qv_lora,0.18382450938224792,True,15.483609199523926,1.6295640468597412,0.15091472864151,0.009746740572154522
2500,0,planning_readout,-0.14860278367996216,True,4.189905166625977,1.3057211637496948,0.1305721253156662,0.031163504347205162
2500,0,planning_registers,-0.17935453355312347,True,2.936361789703369,0.782184362411499,0.07821843773126602,0.02663787454366684
2500,0,readout_output,-0.16802220046520233,True,0.039902135729789734,0.01848154328763485,0.0018481543520465493,0.04631717875599861
2500,0,vision_qv_lora,-0.47382447123527527,True,7.892632961273193,1.9033763408660889,0.1903376430273056,0.02411586232483387
3000,0,planning_readout,0.23749305307865143,True,5.625243663787842,1.3249537944793701,0.13249538838863373,0.023553716018795967
3000,0,planning_registers,0.3845785856246948,True,5.663194179534912,0.7927011847496033,0.07927011698484421,0.013997421599924564
3000,0,readout_output,0.12018098682165146,True,0.06329618394374847,0.017316678538918495,0.0017316679004579782,0.027358172461390495
3000,0,vision_qv_lora,0.4240022301673889,True,7.2600884437561035,1.212239146232605,0.12122391909360886,0.01669730618596077
3500,0,planning_readout,0.1637849062681198,True,9.31506061553955,1.5938639640808105,0.15938639640808105,0.017110612243413925
3500,0,planning_registers,0.093198262155056,True,5.544637680053711,1.000062108039856,0.10000621527433395,0.01803656481206417
3500,0,readout_output,0.021703097969293594,True,0.08943603187799454,0.03499041125178337,0.0034990410786122084,0.03912339359521866
3500,0,vision_qv_lora,0.13949376344680786,True,11.841280937194824,1.9533312320709229,0.19533312320709229,0.016495944932103157
4000,0,planning_readout,0.005557843018323183,True,5.767701148986816,1.1780054569244385,0.11780054867267609,0.02042417600750923
4000,0,planning_registers,0.07448844611644745,True,3.5328116416931152,0.9976422190666199,0.09976422041654587,0.028239326551556587
